#{"t_start": 1619390084.389809, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1341.539993,1000,20.291551
-1421.515682,1000,48.585577
-988.068589,1000,76.675175
-1129.959277,1000,104.671272
-836.007745,1000,132.576184
-742.265117,1000,160.750296
-370.040575,1000,188.657217
69.823281,1000,216.313002
35.220318,1000,243.851115
121.181154,1000,271.406958
437.703107,1000,299.082856
411.28022,1000,326.795129
516.745675,1000,354.450216
620.370819,1000,382.239116
804.69304,1000,409.729069
877.677073,1000,437.284376
933.831376,1000,464.743189
1124.194065,1000,492.182174
1106.145128,1000,519.657311
1233.992521,1000,547.202687
1283.764723,1000,574.730268
1354.384402,1000,594.016637
1568.743881,1000,621.565302
1548.1817,1000,649.141203
1568.888019,1000,676.540934
1686.329932,1000,704.054048
1757.794784,1000,731.593785
1716.928071,1000,759.129141
1746.375518,1000,786.603072
1771.52317,1000,813.864132
1694.809773,1000,841.38177
1947.557594,1000,868.908128
1908.574641,1000,896.364649
1677.882968,1000,923.830466
2113.524969,1000,951.233687
1993.080537,1000,978.711065
2049.043567,1000,1006.115638
1954.931791,1000,1033.416089
2085.642101,1000,1060.81943
1987.452501,1000,1088.235737
2202.555156,1000,1115.644813
2193.750704,1000,1143.067624
2212.755601,1000,1162.176632
2271.142844,1000,1189.613993
2344.793933,1000,1217.065369
2297.613391,1000,1244.567379
2312.893323,1000,1272.046863
2355.757665,1000,1299.460079
2147.596528,1000,1326.893163
2341.313417,1000,1354.260298
2389.8952,1000,1381.695628
2373.330591,1000,1409.063137
2303.331861,1000,1436.530303
2338.015949,1000,1463.999467
2465.631655,1000,1491.510729
2403.914703,1000,1518.904565
2340.310107,1000,1546.299941
2404.769484,1000,1573.680928
2348.740697,1000,1601.063762
2411.072472,1000,1628.515722
2520.018762,1000,1655.93532
2522.824614,1000,1683.307976
2385.677231,1000,1710.591842
2324.773312,1000,1729.591331
2440.134012,1000,1757.014479
2450.296231,1000,1784.3697
2494.988611,1000,1811.81163
2460.429094,1000,1839.210773
2328.888753,1000,1866.582834
2518.46781,1000,1894.014837
2428.152257,1000,1921.366472
2545.203782,1000,1949.017649
2534.916968,1000,1976.600238
2525.113174,1000,2003.950936
2580.581948,1000,2031.210876
2607.737686,1000,2058.572116
2506.870076,1000,2085.923517
2649.228017,1000,2113.319362
2678.282548,1000,2140.772155
2573.688532,1000,2168.215667
2659.053041,1000,2195.430516
2531.837157,1000,2222.693162
2602.906253,1000,2250.091667
2653.443129,1000,2277.39696
2539.88054,1000,2304.716914
2685.803236,1000,2323.82178
2631.417,1000,2351.177208
2628.727177,1000,2378.439987
2610.104887,1000,2405.779203
2665.187486,1000,2433.119513
2665.835807,1000,2460.508656
2640.658045,1000,2487.881532
2597.789794,1000,2515.29964
2703.049053,1000,2542.741681
2696.140726,1000,2569.989039
2744.357487,1000,2597.37249
2724.716344,1000,2624.720552
2600.493418,1000,2652.058476
2584.468066,1000,2679.496522
2668.237231,1000,2706.861259
2710.418122,1000,2734.179829
2685.855286,1000,2761.470659
2745.122668,1000,2788.789715
2531.254379,1000,2816.220568
2647.151665,1000,2843.540985
2685.15862,1000,2870.902856
2767.607836,1000,2889.844007
2772.444786,1000,2917.157488
2782.552002,1000,2944.358546
2706.872841,1000,2971.634029
2573.482686,1000,2998.971148
2578.581316,1000,3026.392191
2689.040394,1000,3053.81051
2711.609639,1000,3081.058691
2735.687661,1000,3108.297569
2657.12366,1000,3135.516634
2731.405417,1000,3162.909589
2549.327668,1000,3190.257335
2534.256526,1000,3217.550671
2722.715596,1000,3244.809231
2777.999384,1000,3272.179437
2689.47318,1000,3299.476425
2801.630938,1000,3326.813587
2795.854511,1000,3354.141527
2665.806153,1000,3381.517257
