#{"t_start": 1619402818.879573, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
24.387988,26,0.464555
26.398941,24,0.731448
21.439878,18,0.932447
21.660867,23,1.203653
16.455472,11,1.345862
21.108994,19,1.555325
20.798451,18,1.752877
14.519149,8,1.848599
36.288619,38,2.286659
23.962943,20,2.506998
25.594649,23,2.760788
19.576591,12,2.89419
25.337647,21,3.130334
19.272391,15,3.295421
20.522423,18,3.496848
24.390522,20,3.723039
28.039441,28,4.039015
26.969943,27,4.337049
22.692614,18,4.542643
27.61035,29,4.864322
25.933695,21,5.099037
25.17188,19,5.309457
31.385642,30,5.640048
19.756156,15,5.808993
20.693025,16,14.065147
18.306215,15,14.235015
15.980346,14,14.392768
20.248765,16,14.574617
19.245674,14,14.734515
16.743525,11,14.859614
25.535103,21,15.096706
33.334194,32,15.452049
20.558127,17,15.648274
19.357469,24,15.916455
17.626081,15,16.086445
29.191261,22,16.3372
23.921346,28,16.661687
32.039426,28,16.976993
19.268458,18,17.172781
20.795248,16,17.355076
22.901313,19,17.567789
19.002235,13,17.710236
28.512872,22,17.961283
24.363209,21,18.197721
18.948364,15,18.363585
24.745829,17,18.558548
20.23185,16,18.738741
22.632219,22,18.983278
29.762553,25,19.259059
30.772201,27,19.565397
20.847459,16,19.742552
25.811592,23,28.055098
36.299786,38,28.479438
25.298549,24,28.742894
32.355328,31,29.081327
27.827465,26,29.370245
20.102506,15,29.534457
15.613703,16,29.711465
25.697626,22,29.957177
36.483192,35,30.349664
23.913465,24,30.616423
33.070872,33,30.982494
14.841961,8,31.072881
28.677179,27,31.369706
27.964615,25,31.645829
22.730994,16,31.822901
20.830772,22,32.067986
23.489456,19,32.28427
35.586585,30,32.617119
28.130036,24,32.886003
29.236286,27,33.184019
19.968393,16,33.358677
24.475373,20,41.687137
33.573701,44,42.197581
26.089892,22,42.439825
18.363429,13,42.582972
21.482152,16,42.760347
15.723855,15,42.921414
58.17982,62,43.596777
33.626356,30,43.933876
36.574742,38,44.359559
45.278663,47,44.876236
47.120182,61,45.547673
44.210766,45,46.039386
43.948022,48,46.573676
22.584223,17,46.761038
31.280816,33,47.136747
31.13623,25,55.514083
26.73885,33,55.87718
44.133272,55,56.477984
31.993078,40,56.921123
34.730169,33,57.284261
26.157452,30,57.616071
34.609359,36,58.013679
44.778403,39,58.440675
43.334706,43,58.909907
48.125264,58,59.543801
68.269364,73,60.338291
23.99892,26,60.620956
22.669361,18,60.818466
17.991257,16,60.992476
68.628229,85,70.020411
29.826696,29,70.340313
49.263617,48,70.885665
46.383191,45,71.374535
33.255742,30,71.70476
73.037233,84,72.652146
59.133793,56,73.267683
50.428559,50,73.81142
14.869863,73,74.618869
68.846779,64,83.436535
52.465662,52,84.005814
34.076039,50,84.551397
30.245043,80,85.443241
76.136632,80,86.30291
41.419347,46,86.800608
46.279111,42,87.283072
40.847369,33,87.649315
46.528524,125,96.967129
67.468729,79,97.838554
67.610186,67,98.595032
74.623231,72,99.382141
80.457135,70,100.150816
27.803264,27,100.443787
72.407042,69,101.186713
44.095897,47,101.707206
65.983435,55,110.359002
80.057702,76,111.191545
16.57245,24,111.449562
66.002334,64,112.155209
99.924046,90,113.148281
52.307212,48,113.664204
58.567144,53,114.249707
85.756833,84,115.154985
40.637467,86,124.179141
74.149311,69,124.915202
76.295432,121,126.235231
74.471807,75,127.049429
87.68332,90,128.02358
58.453653,53,128.601048
65.023337,57,129.211689
78.964163,69,137.956564
104.983604,110,139.152088
77.434619,82,140.047807
21.706467,74,140.851834
88.709679,131,142.276159
84.493396,76,151.203466
100.098552,101,152.310362
90.497003,77,153.151272
73.775503,68,153.899505
71.732896,57,154.528598
62.411441,58,155.149356
60.835828,52,155.71076
100.749836,96,164.725131
68.644694,57,165.355304
58.553039,52,165.919086
58.403323,54,166.505347
84.984353,76,167.335187
74.794176,64,168.023961
87.59269,86,168.961126
113.310873,116,178.311714
87.551731,80,179.174352
56.443812,54,179.762216
68.257036,60,180.404925
127.519285,138,181.907964
87.756435,86,182.849455
66.042822,57,183.460244
82.906658,71,192.250708
70.387313,54,192.82862
20.5691,16,193.000317
52.873942,63,193.679453
82.474576,69,194.430417
23.961395,83,195.327993
63.043355,50,195.870935
63.117483,56,196.474581
57.337076,46,196.968235
76.494946,64,205.725947
74.962548,67,206.461094
96.186939,103,207.57336
77.016143,69,208.328688
46.263243,100,209.424534
70.450404,55,210.021009
96.877034,88,210.970106
84.782423,74,219.882604
90.2421,85,220.808907
69.60324,60,221.456671
82.175552,70,222.237625
74.631995,56,222.840378
79.291518,68,223.576385
73.336445,62,224.25752
111.755983,118,233.654078
73.46577,67,234.39105
70.658445,60,235.036289
63.433548,53,235.61717
99.438252,83,236.539092
93.133044,87,237.485173
67.216437,55,238.094006
80.695762,94,247.207074
77.707341,67,247.938228
103.926946,112,249.169968
75.028498,74,249.961505
