#{"t_start": 1619402818.864575, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
18.477133,18,0.383134
18.715221,14,0.540989
28.470324,30,0.872225
21.981901,22,1.122747
18.112381,16,1.331724
23.311508,17,1.518825
21.692993,17,1.705887
22.111242,20,1.938636
28.405722,24,2.217412
21.260553,18,2.415407
24.063987,19,2.625575
39.43172,39,3.060679
15.605992,12,3.194674
20.258637,16,3.371771
30.840796,27,3.67584
14.832004,8,3.766111
26.257842,21,4.003061
29.521068,25,4.281235
18.190764,11,4.402821
23.262924,18,4.605978
19.591897,15,4.773274
16.17821,14,4.928923
25.372589,20,5.152078
19.562381,21,5.383292
23.16805,25,5.659992
23.439837,17,5.850826
23.436031,22,14.176652
27.143698,30,14.515076
22.135183,17,14.707983
31.295679,30,15.045028
15.30664,9,15.14977
26.741209,24,15.41495
33.039219,28,15.735711
20.627678,16,15.913994
16.768491,15,16.082516
19.347852,18,16.289463
22.312564,18,16.4994
22.062904,23,16.760202
15.291342,11,16.883894
37.705451,33,17.250142
16.998758,10,17.363649
40.675683,38,17.787999
14.785031,13,17.935732
21.036392,15,18.104982
14.71307,9,18.206128
32.02069,28,18.522051
23.524614,24,18.792424
26.13911,20,19.014375
32.096418,25,19.28984
14.20163,8,19.380156
23.872795,20,19.606721
16.743059,16,19.784116
22.37295,17,28.030059
21.241101,23,28.288669
19.854476,17,28.477358
18.922428,16,28.652042
28.837346,25,28.923045
26.252783,22,29.16606
18.379059,13,29.310992
22.724718,21,29.542509
31.666071,28,29.857018
19.245461,13,29.999819
31.76319,27,30.298786
28.570006,29,30.623841
19.032185,13,30.770711
36.249951,45,31.270773
37.400919,31,31.61025
23.73948,22,31.854684
31.840149,34,32.238348
33.38927,27,32.534515
26.473224,26,32.826587
24.644803,19,33.036495
33.141759,27,33.334994
25.025875,22,41.683852
27.665999,27,42.000332
40.859848,43,42.481698
28.803459,22,42.724995
26.182999,27,43.017933
42.519678,53,43.594675
17.409814,12,43.731449
19.800692,31,44.07728
23.808398,25,44.35688
37.252023,31,44.699161
38.247696,36,45.091816
27.958694,24,45.3581
20.045865,16,45.535213
25.763167,22,45.775892
40.246238,39,46.205917
27.125367,30,46.536586
33.712503,32,46.890457
36.210905,37,47.309517
65.27977,74,56.224612
21.826433,15,56.388456
25.783633,25,56.662004
39.334124,41,57.113496
29.917024,25,57.392648
48.84458,52,57.96696
43.272376,37,58.373366
33.910519,30,58.699059
56.913536,53,59.278642
32.500003,35,59.663007
43.696435,54,60.247949
24.85965,30,60.573078
29.921817,29,60.892224
45.919363,54,69.580533
25.934278,52,70.149557
26.455107,25,70.435099
58.570486,50,70.99253
62.721568,76,71.826119
25.805282,26,72.127326
38.978198,44,72.616383
61.625014,57,73.242191
35.202308,32,73.594119
43.975059,42,74.054806
30.576722,27,74.350842
62.776885,55,83.072845
47.404025,50,83.618856
74.364001,87,84.571645
40.464224,106,85.743875
43.544503,49,86.268608
39.257503,40,86.699001
77.773165,87,87.679648
42.231775,57,88.296173
57.498519,48,96.776506
40.271546,42,97.239296
85.811742,116,98.537271
83.039904,71,99.313995
81.968352,82,100.213052
114.492559,140,101.737735
69.912796,65,110.502184
96.508347,117,111.771288
96.093212,103,112.918615
17.298229,17,113.102828
88.50302,98,114.169094
54.57284,56,114.775537
65.38861,70,115.530012
64.301261,53,124.199239
75.842602,69,124.935141
38.400611,105,126.080395
125.040515,135,127.540562
71.587884,63,128.228071
50.772413,49,128.759454
34.992741,76,137.572726
76.315612,63,138.258422
62.851398,58,138.893394
63.321795,49,139.425092
76.956988,83,140.32578
61.064377,104,141.458962
83.84455,99,142.532525
78.527025,81,151.515274
68.639411,94,152.547779
78.497077,69,153.299932
70.926875,69,154.062524
88.733261,79,154.922932
78.309652,79,155.772739
86.69022,110,164.942121
85.572839,87,165.893474
82.538528,79,166.750013
41.790502,82,167.645245
59.094361,59,168.279756
80.724821,70,169.048136
60.495483,50,169.593183
103.503174,99,178.750482
36.651283,46,179.247833
95.526225,110,180.435495
67.105681,120,181.742694
93.508891,106,182.901601
96.320967,100,191.990715
72.788792,69,192.740222
103.409305,115,193.976759
72.139648,69,194.730538
64.016735,54,195.315025
106.111057,120,196.613768
108.172813,127,206.055054
80.99631,78,206.902992
83.860702,78,207.743035
13.351486,11,207.862916
101.94092,99,208.950484
80.520119,70,209.716803
70.241402,58,210.345252
13.695702,13,210.488041
83.827626,74,219.386106
75.703828,64,220.088341
85.963317,71,220.861059
87.27333,83,221.763115
63.396213,63,222.461578
62.633046,55,223.055417
76.823728,69,223.807336
83.934868,79,224.670469
72.652954,64,233.482909
87.821634,81,234.365915
72.033473,66,235.078257
78.362122,67,235.807482
77.545326,72,236.616522
33.846709,88,237.569845
81.14955,81,246.536922
34.87292,66,247.270337
60.289429,58,247.904116
71.985113,63,248.58834
118.32465,114,249.831845
123.519018,118,251.114416
81.700849,84,252.035878
61.080428,113,261.355509
82.571577,73,262.137257
69.893127,56,262.755573
79.394307,63,263.435156
77.044956,91,264.431984
52.383249,54,265.019519
76.111589,69,273.92074
74.283031,70,274.696428
92.231232,81,275.576379
83.237431,77,276.40968
24.343553,31,276.755497
78.180644,65,277.457406
78.888692,66,278.169708
102.384185,107,279.321767
69.975756,54,287.926656
63.070809,47,288.43517
89.342564,87,289.386357
61.022692,50,289.928447
109.375861,117,291.207111
56.123617,48,291.723929
94.879055,92,292.722308
80.645259,71,301.580059
79.024928,76,302.416131
66.983713,129,303.83078
87.360537,76,304.661527
108.619321,100,305.743398
33.795347,104,314.869886
95.231541,107,316.024944
63.362002,53,316.596784
84.395705,89,317.567803
86.528515,79,318.417434
88.757722,79,319.299213
82.509417,73,320.089907
78.713934,62,328.856523
110.519816,118,330.154833
129.777115,157,331.852394
32.21803,71,332.629273
94.026825,80,333.493457
88.486469,73,342.3834
100.326841,86,343.317447
77.824335,69,344.066124
40.064496,43,344.552087
133.278787,118,345.839104
82.453325,74,346.636475
84.645699,73,347.438086
108.078356,103,356.677406
101.030046,109,357.860543
108.020779,105,359.000823
125.963214,133,360.457108
140.049711,123,369.891649
77.54957,78,370.747412
96.156899,83,371.64901
133.865237,116,372.961139
144.832848,124,374.31792
115.485962,107,383.61321
88.801123,71,384.381398
112.195298,107,385.580308
90.854957,83,386.483166
73.726033,77,387.31636
83.068695,82,388.211331
171.698416,147,397.864661
66.047687,60,398.515971
109.118223,104,399.63717
162.470524,150,401.255569
112.953918,84,402.196778
105.221715,90,411.284339
96.463912,84,412.205992
86.112657,68,412.937895
120.536415,112,414.164101
51.59819,123,415.508479
98.272295,85,424.5286
155.437708,157,426.224951
89.130496,80,427.10126
107.32757,98,428.161537
124.804086,132,429.589791
91.937372,83,438.532113
155.324021,150,440.158362
159.693696,144,441.728532
74.798418,85,442.658835
114.789656,95,451.767314
32.114729,32,452.110626
71.39285,62,452.785945
58.565815,137,454.280048
76.836098,160,456.020407
138.584741,144,465.601505
180.804205,167,467.432808
175.624708,175,469.348714
41.82467,45,469.849447
181.065078,168,479.684031
135.373384,139,481.214526
178.169742,175,483.12305
174.972383,156,492.919442
222.686705,224,495.343227
164.051359,170,497.187905
85.914925,86,506.195927
132.19313,125,507.548279
193.131824,156,509.246928
51.169832,55,509.843873
157.288086,132,511.265106
35.141145,33,519.737384
115.217155,118,521.011662
158.639856,161,522.804787
153.183472,121,524.129249
162.10404,147,533.77311
124.305565,124,535.129172
83.196167,79,535.986978
147.152035,133,537.43105
123.919264,110,538.615009
138.203338,142,548.243435
133.936387,164,550.021261
312.222214,274,561.098415
278.281329,258,563.87471
109.92167,111,565.072087
166.547446,154,574.863655
88.954349,78,575.718162
189.123294,161,577.467007
174.359254,139,578.963097
334.409714,288,590.175621
170.665925,168,591.992551
203.002299,176,602.007523
227.895745,189,604.050945
123.104246,104,605.182629
260.674954,227,615.761402
72.744788,60,616.403353
347.931094,290,619.504511
496.437734,428,632.18748
183.791826,151,633.789699
283.978169,261,644.65381
228.288139,211,646.933394
126.980447,118,656.275645
347.785964,281,659.305726
240.700309,200,669.522847
210.10391,164,671.298493
122.385916,107,672.46483
187.011756,151,674.070026
312.387469,273,685.120734
382.822849,312,688.487438
396.799305,339,700.133477
79.049841,72,700.906345
359.555981,274,711.996131
218.330349,181,713.93807
110.392954,98,714.992251
392.814261,298,726.308528
322.069249,269,729.228976
558.789908,439,741.928383
63.07816,55,742.524138
135.760466,125,751.912653
164.092817,140,753.416639
472.432684,362,765.40615
381.57696,286,768.484303
484.888022,350,780.315652
730.731322,539,794.297314
247.092734,218,796.63729
276.310436,208,806.967465
303.878151,297,810.189993
621.642229,507,823.777449
642.295786,492,837.146487
432.610074,310,848.602926
1193.529274,884,874.355999
188.760058,137,875.841842
199.118563,158,877.532228
316.642542,236,888.09416
118.146848,97,889.146689
149.21305,124,890.491732
217.881702,156,892.16212
622.018854,452,905.177786
496.8759,355,917.061558
634.482969,464,930.207589
312.908309,225,932.621028
340.272916,266,943.630292
459.811166,340,955.485022
1306.70842,915,973.460487
399.837792,300,984.774334
874.493215,612,999.391257
84.299257,77,1000.211408
486.463554,356,1012.113252
1406.471513,1000,1039.110394
1366.174462,1000,1066.102045
272.423376,205,1068.303151
1423.49971,1000,1095.246258
1127.321952,798,1120.005196
1443.521196,1000,1147.012913
442.754759,346,1150.774184
96.749093,80,1159.73254
75.400905,59,1160.364415
1272.191114,901,1178.292744
1485.249002,1000,1205.1551
1486.104313,1000,1232.139521
499.657459,354,1244.003774
1481.131059,1000,1271.003818
1484.091167,1000,1298.000994
579.581379,407,1310.514116
1484.077366,1000,1337.483419
1466.283887,1000,1364.527195
849.951813,603,1379.083345
1289.294828,848,1396.308221
1522.287532,1000,1423.327855
183.716758,127,1432.88114
284.262752,203,1435.092203
1440.492859,1000,1462.082988
897.352645,599,1476.763412
100.654399,82,1477.655859
320.469004,242,1488.306099
957.092338,650,1503.484976
1512.054837,1000,1530.519067
9.551539,11,1530.644611
1487.214938,1000,1557.727629
1479.544189,980,1584.471475
1534.829812,1000,1611.524545
1538.688484,1000,1638.682579
275.283094,232,1641.168236
426.592945,290,1652.351986
1546.906818,1000,1679.20463
13.24917,17,1679.391035
1542.797166,1000,1706.416878
1431.427707,907,1732.504392
1538.787539,1000,1759.629896
22.02399,20,1759.84597
154.56708,110,1761.032528
149.145214,115,1762.285466
184.703627,150,1763.896291
178.026554,126,1773.392947
1617.310174,1000,1792.246159
1590.286046,1000,1819.27818
1611.890787,1000,1846.244631
1568.646828,960,1872.766428
1587.007975,1000,1899.873621
1681.520329,1000,1926.826041
146.563677,117,1928.070909
1610.786279,1000,1954.975256
1677.838827,1000,1981.866484
1651.835664,1000,2008.880097
1699.672181,1000,2035.913534
197.025081,159,2045.75983
1677.257685,1000,2064.534225
39.747875,52,2073.24167
1619.131832,1000,2100.150809
1711.805306,1000,2118.913631
79.858329,75,2127.847486
614.973461,379,2131.98238
1414.346953,848,2157.402363
1723.937879,1000,2184.547971
1723.219223,1000,2211.554077
1735.183392,1000,2238.383439
1712.459176,1000,2265.227689
44.609155,52,2265.779954
1753.759508,1000,2292.785298
1724.516749,1000,2319.683217
1800.569274,1000,2346.840264
1771.9174,1000,2373.797482
1758.063999,1000,2400.732215
1742.118941,1000,2427.68028
1732.61356,1000,2454.602002
1773.204576,1000,2481.625934
1763.134137,1000,2508.613443
37.327276,38,2509.027689
1766.716676,1000,2535.880933
1787.58319,1000,2562.815882
105.644914,82,2563.702665
1759.973088,1000,2590.748971
1847.805133,1000,2617.766506
1830.142547,1000,2644.774922
18.648349,20,2644.986999
1772.331711,1000,2671.901737
82.761402,65,2672.59891
467.76834,287,2675.642662
1825.832351,1000,2702.514708
1845.353298,1000,2729.527916
1825.471554,1000,2756.526982
1829.680057,1000,2783.546477
1848.345989,1000,2810.675446
1885.31603,1000,2837.571195
1871.464992,1000,2864.638743
1899.47512,1000,2891.639821
1909.755727,1000,2918.660799
1882.367052,1000,2945.820525
55.036289,50,2946.346058
1877.382285,1000,2973.270436
1882.336963,1000,3000.395162
1846.677816,1000,3027.407643
1904.808028,1000,3054.490323
1867.016935,1000,3081.624669
1871.645086,1000,3108.544407
1904.75641,1000,3135.635165
1886.622248,1000,3154.397399
1953.967242,1000,3181.533907
1920.277632,1000,3208.649588
1902.802095,1000,3235.685879
1921.52281,1000,3262.653601
1961.917056,1000,3289.7214
213.529504,152,3299.527488
1889.557159,1000,3318.334841
