#{"t_start": 1619402818.8612978, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
21.216954,20,0.408712
21.330048,22,0.655298
32.463096,29,0.977348
21.620642,16,1.160014
30.470845,27,1.487018
21.092629,19,1.695492
35.928195,31,2.054037
16.242937,10,2.173008
16.566003,9,2.274684
24.922437,23,2.529088
18.622101,19,2.737642
23.093251,21,2.972527
16.497066,10,3.085494
14.498742,9,3.185203
23.106713,16,3.361941
20.087769,14,3.518982
32.733129,32,3.881672
25.228826,21,4.117256
23.288096,20,4.336628
34.17924,30,4.675109
14.33784,9,4.77482
23.293906,17,4.964413
17.697285,10,5.076634
32.21775,29,5.396797
28.143437,23,5.650535
15.510729,9,5.752049
20.832651,18,14.028333
16.299392,10,14.14454
16.175075,11,14.268418
16.861747,12,14.40282
14.648284,10,14.516684
28.222284,28,14.83512
19.665705,17,15.02509
26.106784,27,15.32996
24.055999,16,15.509181
15.832657,10,15.623522
16.052486,20,15.850638
23.843923,19,16.060422
15.71494,12,16.199297
24.583795,22,16.452847
22.34242,16,16.6398
14.365174,15,16.806471
17.045341,10,16.91863
19.665882,15,17.085741
25.606584,21,17.322433
34.102061,32,17.677301
21.775828,14,17.834234
21.325903,15,18.006131
21.90127,28,18.320276
40.78782,38,18.747894
15.485635,10,18.8584
18.50312,15,19.027386
30.877562,33,19.394067
31.827462,32,19.753068
31.802931,29,28.134517
21.340262,24,28.40077
33.026119,33,28.764929
24.32186,22,29.004307
21.072132,21,29.235808
16.201235,11,29.358805
21.563033,23,29.611546
37.82674,46,30.124003
24.056659,17,30.315686
27.171042,27,30.614322
24.036058,20,30.839489
27.794501,22,31.082732
36.242469,36,31.479214
19.804789,18,31.679131
18.476015,16,31.856297
26.366872,20,32.078149
27.766404,27,32.381797
29.215381,30,32.719086
26.417197,22,32.962798
24.590638,23,33.216643
26.315285,27,33.51183
27.581194,25,41.914712
32.635685,27,42.22019
18.51849,14,42.374794
27.798683,24,42.638084
27.331625,23,42.890004
26.190864,23,43.138649
25.073233,32,43.486927
29.627547,24,43.755175
28.379406,24,44.021401
17.433525,15,44.194464
34.800232,31,44.535837
29.622275,29,44.85304
25.83258,21,45.082612
66.355747,69,45.843104
39.437806,41,46.295887
35.563321,33,46.661398
31.165716,31,47.001412
18.748238,15,47.180743
20.506552,13,55.428472
25.528969,19,55.637753
22.129884,24,55.899213
20.056444,20,56.117391
27.224107,29,56.434329
46.899266,48,56.96554
47.405992,42,57.427287
31.26365,38,57.849533
20.687253,18,58.046608
47.668221,50,58.593229
25.820077,24,58.855318
38.540222,37,59.258318
28.607057,23,59.51209
56.079995,62,60.18518
32.661142,34,60.553496
24.711758,20,60.77539
27.258912,25,69.154036
29.462869,36,69.539222
29.054095,27,69.831807
67.261404,57,70.473919
52.585473,89,71.452769
37.701089,43,71.944607
31.67596,27,72.246392
76.909746,83,73.154131
44.581532,51,73.713881
41.936834,38,74.133937
19.09048,14,74.286352
26.4516,27,74.585259
25.839512,36,83.097729
49.961792,54,83.686966
57.942955,70,84.451939
20.042023,25,84.732493
44.277383,45,85.225349
39.937256,38,85.647282
44.691905,65,86.3464
47.17423,60,87.007804
38.734731,37,87.432022
29.964585,32,87.781116
80.697506,78,96.585392
69.96592,72,97.372382
66.283542,67,98.127692
56.952375,67,98.864
59.689335,53,99.452899
25.091497,51,100.01224
51.539769,60,100.658822
67.005919,68,101.4044
58.141296,104,110.59248
20.336127,16,110.765561
68.688459,71,111.536095
48.580436,53,112.115569
49.081777,48,112.646685
45.170201,47,113.170404
78.686175,91,114.159061
28.626196,82,115.04679
47.65295,103,124.255581
101.380802,103,125.363106
83.51598,108,126.543998
76.179424,70,127.298448
77.128604,140,128.81541
73.534856,68,137.539227
71.141239,67,138.272127
65.636639,48,138.797934
76.102319,76,139.620643
69.566562,70,140.382212
78.220065,81,141.26212
44.687111,51,141.816495
58.891003,58,142.447744
77.576635,74,151.355275
101.912989,107,152.527916
92.352023,88,153.491947
88.329099,72,154.286331
64.281426,53,154.860999
79.144879,65,155.56036
88.842968,103,164.646903
57.972612,50,165.201367
76.818354,71,165.973967
61.399234,52,166.538227
102.138163,97,167.593734
81.45419,74,168.390479
