#{"t_start": 1619402818.869066, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
12.914581,9,0.281213
21.354314,16,0.459713
26.152567,35,0.846301
20.847983,18,1.052699
22.948269,16,1.252344
19.964647,14,1.417941
20.396983,17,1.60486
27.876526,26,1.902497
23.347212,34,2.292448
22.262318,16,2.469917
29.778278,29,2.789874
20.926081,18,2.989962
35.821141,33,3.357657
27.843133,29,3.685559
18.189735,11,3.811786
19.9794,16,3.988678
18.440173,11,4.113458
27.91305,23,4.364983
21.608597,14,4.526694
18.614891,12,4.659362
22.389507,18,4.858843
22.994781,18,5.059911
29.074525,27,5.358735
20.694185,15,5.524313
21.182697,19,5.735621
22.714963,20,14.036508
22.218769,21,14.27474
24.77985,21,14.512967
17.303553,10,14.628266
18.12019,11,14.752324
17.499758,13,14.899777
18.287136,18,15.101837
17.100085,13,15.245182
18.822524,12,15.379684
36.544911,32,15.745247
21.990868,23,15.999434
33.923506,28,16.319691
13.373358,7,16.400314
21.605191,18,16.613023
15.944547,12,16.746423
27.763667,22,16.994451
29.17322,23,17.247886
27.270124,21,17.481773
27.275679,23,17.739035
17.841326,11,17.865304
15.469707,11,17.989914
21.460229,18,18.192361
23.271713,18,18.392741
20.747113,14,18.554004
33.155611,28,18.864601
17.891407,11,18.989146
19.802455,19,19.198926
18.350752,12,19.332916
36.182726,44,27.884956
20.36131,15,28.050359
27.39496,24,28.319648
26.957567,28,28.62758
30.6089,28,28.931332
19.066402,21,29.163836
18.575233,15,29.330836
24.064286,19,29.540286
21.812389,16,29.71707
20.223979,16,29.898862
23.475555,20,30.119809
31.228564,27,30.422471
19.23432,16,30.598046
15.651603,11,30.724381
17.353035,13,30.867689
24.504147,22,31.114433
29.887729,27,31.409157
25.097402,23,31.663356
29.465597,25,31.941547
15.9292,11,32.062468
34.841033,35,32.454145
22.599062,20,32.679851
33.644051,30,33.012605
16.851657,11,33.135587
29.780921,27,33.431198
19.515019,14,41.692385
24.98687,29,42.029782
25.227921,22,42.282786
33.289998,44,42.766101
30.664272,30,43.090169
18.815369,11,43.214133
38.550729,37,43.614534
20.488392,20,43.841885
27.547109,22,44.085703
37.894158,43,44.563577
26.874028,22,44.805425
24.048969,24,45.066807
20.184219,15,45.23321
37.714773,34,45.608454
47.590249,54,46.203671
27.868539,23,46.456108
23.120917,22,46.701404
23.53925,17,46.888509
44.208447,52,55.574636
17.4293,13,55.721387
24.686591,23,55.971675
31.682556,35,56.352481
46.304077,52,56.926931
32.609243,29,57.245921
37.389238,42,57.708634
30.832489,27,58.007688
34.63678,39,58.435875
25.959851,25,58.707454
20.802187,16,58.884184
39.364906,33,59.241574
41.325024,53,59.82395
58.387882,70,60.581983
20.427943,16,60.759159
31.816307,42,69.321254
25.334469,31,69.653104
39.541444,36,70.048578
53.156989,68,70.815881
22.083349,23,71.064745
64.280567,69,71.824231
35.097429,44,72.328605
51.799271,65,73.04024
63.625659,68,73.785495
32.644565,30,74.11711
32.686076,31,74.460191
14.285151,10,74.568925
35.15825,38,83.104192
69.563364,69,83.854955
43.429376,35,84.238504
29.972448,49,84.783359
66.871455,64,85.492579
48.668707,63,86.169115
56.054137,50,86.7079
72.947819,72,87.527633
18.970128,15,87.687968
56.79932,60,88.339213
71.410109,67,97.029737
56.197252,71,97.811186
71.865239,59,98.480925
47.653018,63,99.168411
94.392718,99,100.252939
58.389818,71,101.01739
56.342369,78,101.884516
69.557616,75,110.74975
85.115179,101,111.846272
69.435597,72,112.642478
66.814924,71,113.424665
71.046867,58,114.054891
71.024814,74,114.857871
37.319868,94,123.964928
57.906793,106,125.109798
44.53398,65,125.81409
79.111361,75,126.636156
57.899659,52,127.198279
71.828046,70,127.954987
85.628322,88,128.906739
110.206261,133,138.346776
73.339364,63,139.03183
64.684141,64,139.723095
68.823876,68,140.465222
86.959417,77,141.301416
78.967706,72,142.08276
64.4803,55,142.684861
37.992712,77,151.623619
66.257344,52,152.197269
64.922749,60,152.854173
47.281408,55,153.449378
77.687444,77,154.304065
57.073914,113,155.522317
76.023011,63,156.20313
70.17177,59,164.818854
103.199249,99,165.901924
61.744956,52,166.465499
45.025581,95,167.504089
32.646793,66,168.213259
