#{"t_start": 1619402818.8704681, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
33.542497,28,0.492359
17.527498,11,0.616664
20.474538,15,0.780698
31.638344,32,1.14322
14.99771,11,1.291981
29.478999,21,1.526864
21.234532,18,1.725001
20.341715,15,1.902179
19.9569,13,2.049067
21.02832,17,2.247111
19.716891,14,2.400184
26.840605,23,2.654306
11.881538,7,2.732658
19.615631,17,2.922434
32.538809,32,3.278692
22.282926,21,3.514261
35.049628,40,3.964814
19.715488,12,4.099524
17.959724,11,4.22143
30.898473,28,4.536999
14.57731,9,4.635916
28.273088,25,4.913107
15.716385,9,5.01449
30.644014,26,5.30333
33.083877,28,5.611068
26.88507,23,5.868934
21.547512,15,14.117699
16.858065,15,14.284928
37.273504,37,14.705329
15.853588,12,14.841628
12.245797,7,14.920872
20.281997,15,15.088627
18.447005,17,15.279391
40.408389,33,15.652549
17.596071,13,15.801362
22.041406,18,15.999123
19.172541,13,16.147479
17.47305,11,16.274216
31.611968,27,16.589334
16.865673,10,16.700954
15.384493,9,16.801528
16.999,11,16.926787
13.69036,8,17.01528
22.919915,20,17.234962
18.392394,12,17.371677
17.585089,11,17.492971
22.196649,19,17.704091
21.954973,18,17.909239
23.337305,20,18.135621
22.841427,17,18.326356
20.426526,17,18.519046
16.976605,11,18.640126
17.911524,12,18.777534
25.767043,23,19.033132
21.810485,19,19.241721
14.243094,8,19.332603
18.378439,11,19.455136
37.244926,40,27.960828
21.43799,23,28.217534
45.140798,39,28.649042
26.247535,30,28.974942
22.857512,21,29.207424
31.375429,25,29.484735
24.965024,27,29.783436
21.713724,22,30.028897
33.834721,36,30.432814
29.322235,24,30.701312
48.155046,45,31.201162
23.299017,19,31.408854
22.75303,19,31.618524
25.442125,18,31.816915
20.723025,19,32.029156
34.802705,36,32.430642
27.104202,24,32.702027
33.083915,34,33.081104
23.310991,19,33.288408
29.658769,27,41.692081
24.802717,20,41.931028
57.185583,59,42.587926
52.346118,66,43.31008
31.544823,35,43.694725
31.83075,27,43.994386
25.297651,23,44.255441
24.3496,20,44.474827
27.685969,23,44.72843
27.851312,23,44.97987
35.612066,32,45.332991
49.953781,49,45.870988
24.330875,18,46.068603
26.944587,21,46.303154
24.790911,20,46.521522
41.738521,48,47.058166
57.204196,58,55.806844
33.028311,37,56.209936
25.602115,23,56.46067
23.723572,20,56.68185
40.333752,39,57.110538
71.601463,84,58.041514
22.942747,23,58.2935
34.978554,32,58.642086
60.454821,55,59.241358
31.846735,35,59.625625
46.75184,48,60.147528
71.471226,70,60.910568
51.204381,62,69.684092
44.947682,45,70.179897
31.284258,40,70.642717
35.798559,48,71.161887
56.60642,59,71.810207
59.615438,61,72.504419
44.378262,45,72.996081
71.218294,78,73.851704
36.133823,40,74.292507
50.102171,49,82.950665
32.619758,116,84.215107
24.895604,34,84.58987
66.148712,64,85.296189
17.492601,13,85.448139
34.738303,31,85.784365
51.042791,48,86.297367
47.161457,70,87.073583
69.221305,84,88.000469
52.373536,46,88.50647
83.899261,81,97.342801
89.925142,96,98.42631
65.058654,60,99.078548
28.745963,33,99.4482
83.758437,81,100.326828
32.957318,80,101.191236
71.856263,92,110.25817
58.546071,70,111.021757
76.334859,92,112.020948
34.271565,99,113.121394
24.331186,75,113.933458
68.449201,64,114.634632
62.181177,67,115.354564
57.946038,68,124.184114
82.498419,74,124.975487
85.905431,79,125.835393
61.935431,62,126.516667
54.230125,53,127.088185
53.232557,49,127.612765
54.295586,64,128.313433
94.964758,111,137.501762
55.12621,116,138.770619
46.523071,41,139.210576
42.28152,51,139.764437
72.964546,67,140.497144
82.086401,86,141.432721
62.704454,66,142.154922
72.182665,67,142.880501
84.130591,72,151.763327
85.389593,79,152.632121
83.839693,77,153.474593
58.737238,73,154.281428
66.044972,108,155.445613
125.607742,124,164.7633
75.825547,64,165.471041
74.377421,70,166.226521
80.952924,72,167.001337
87.125325,90,167.984923
84.339245,93,168.999969
33.053431,76,169.823899
71.388158,64,178.608755
79.058212,80,179.473671
35.253461,58,180.103104
61.816484,56,180.70263
107.659129,218,183.080892
31.718614,60,183.727708
98.960862,105,192.876933
65.028518,58,193.501051
80.085573,72,194.280128
19.740564,94,195.30031
63.32426,68,196.037347
58.170863,52,196.599264
77.472621,69,197.33705
98.141916,100,206.499481
29.036264,32,206.846334
110.070905,123,208.184502
74.902605,59,208.825798
61.201247,66,209.550444
85.383822,84,210.462911
88.933672,92,219.562695
71.731927,63,220.252616
63.31303,56,220.858069
