#{"t_start": 1619402818.8662689, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
18.482589,21,0.41752
24.221544,17,0.607034
26.969762,20,0.825449
20.25484,15,0.997818
24.328262,18,1.203632
28.747135,25,1.506464
26.937605,25,1.782571
34.568762,30,2.1306
31.337557,26,2.425777
22.087657,15,2.592333
25.361694,23,2.845858
21.264994,22,3.093654
19.872532,16,3.269391
21.43598,16,3.449084
23.780093,17,3.636862
26.031772,23,3.901152
15.453297,10,4.01321
19.003853,16,4.191102
23.127022,21,4.424179
26.56194,26,4.716276
25.978086,22,4.961712
24.467302,24,5.228434
17.793851,11,5.349331
26.05437,28,5.659369
23.823437,29,14.060673
17.086513,14,14.221228
29.238187,24,14.492277
26.921896,24,14.764883
14.759579,10,14.878513
20.552134,16,15.054945
30.253962,23,15.31569
24.883663,22,15.562503
36.590344,33,15.93537
27.989968,24,16.20818
14.922932,9,16.309862
16.397895,9,16.413602
28.549609,24,16.691093
20.517881,20,16.915936
32.515242,26,17.202853
12.463142,7,17.285188
22.875412,20,17.507867
23.066767,24,17.775126
16.721379,10,17.888973
22.326465,22,18.137062
37.773129,35,18.533019
16.854449,11,18.653508
20.385812,14,18.813422
16.670514,11,18.934375
19.198946,14,19.089257
26.807199,31,19.434835
24.890611,21,19.672826
20.258685,14,27.886047
21.592568,15,28.051447
38.309306,40,28.498334
15.278153,10,28.606683
19.317749,17,28.794753
22.005177,18,28.989336
21.804837,19,29.197607
33.615287,34,29.574946
20.23561,19,29.785238
28.658843,27,30.088908
29.899995,25,30.368645
30.738193,28,30.680697
41.16075,45,31.180141
26.858046,27,31.476491
21.741093,27,31.775515
20.423725,13,31.919785
21.130922,17,32.107795
32.228395,41,32.568399
26.195326,20,32.791813
25.953081,20,33.013717
38.946153,39,33.444074
30.69246,27,41.864612
39.111955,38,42.296004
21.961462,20,42.5143
47.645936,61,43.179442
22.296068,22,43.419834
64.162517,79,44.300939
25.376053,25,44.576852
34.141678,28,44.883609
28.684648,22,45.125314
35.344928,41,45.577311
28.025137,31,45.917171
30.176631,25,46.193485
32.355645,29,46.511891
21.033203,18,46.713983
25.985184,21,46.943343
23.774981,20,47.178087
39.79057,37,55.690079
22.584704,27,55.984663
30.482685,35,56.365116
25.093161,18,56.561343
35.109505,31,56.904697
23.994444,29,57.225989
27.986408,24,57.488696
30.029969,45,57.987827
33.046592,34,58.360956
69.917541,58,58.994496
48.160957,52,59.562764
31.891818,28,59.869871
53.13921,65,60.572486
48.30698,59,69.322316
30.924312,29,69.633046
47.888348,44,70.115227
34.329082,44,70.622303
33.633719,37,71.023729
34.330036,32,71.37037
33.82353,40,71.811729
63.866152,67,72.5713
61.290284,60,73.229833
33.588005,57,73.85321
29.890681,60,74.515957
37.341674,49,83.173159
69.218407,71,83.948416
72.894158,64,84.646787
35.689113,33,85.012523
37.739892,40,85.462395
62.846325,57,86.073945
43.92343,55,86.665632
55.041613,51,87.245674
27.227213,34,87.625205
44.852356,62,88.29559
59.279024,59,96.897522
72.690494,68,97.641511
51.615391,44,98.146651
62.959742,49,98.68926
131.252847,161,100.451055
70.01142,76,101.277035
98.071977,100,110.421687
49.96033,118,111.704989
51.979566,79,112.575951
44.291079,55,113.189223
65.841325,61,113.8435
33.541165,66,114.572608
59.872437,76,115.389317
18.349257,16,115.561663
53.013172,49,124.185686
75.396524,86,125.110876
45.782061,62,125.78287
56.616571,51,126.346628
75.487988,70,127.102165
76.355317,68,127.837565
117.282896,166,137.6263
58.941789,105,138.772498
77.827878,78,139.618033
63.558075,56,140.2271
68.708498,72,141.011978
63.906348,54,141.600452
92.270456,85,142.520122
53.022135,50,151.1689
105.903585,109,152.361048
66.202007,60,153.019775
58.680712,61,153.686815
47.106893,53,154.272112
89.544413,86,155.202254
96.562841,131,156.616572
52.419081,49,165.128915
76.103876,75,165.948498
71.769792,69,166.695462
66.140834,62,167.375141
83.92591,89,168.333321
57.301253,57,168.957767
84.394865,76,169.783127
78.731798,67,178.599817
102.000247,101,179.694474
61.768874,65,180.391569
76.996983,60,181.043341
21.123882,20,181.259101
87.67212,86,182.214077
75.53575,72,182.986469
73.351728,63,183.662524
66.173432,54,192.269881
81.331779,69,193.007745
73.808068,73,193.794859
77.489986,90,194.77317
93.261578,88,195.727923
58.471181,70,196.481417
73.104587,65,197.178042
71.275949,63,205.929577
70.201854,54,206.523837
67.517116,65,207.228749
64.576914,60,207.873558
103.333679,95,208.917182
19.610539,27,209.210243
70.311005,66,209.931673
75.269098,67,210.657788
76.103898,67,219.48673
40.583887,101,220.592292
83.266007,71,221.356785
69.776332,64,222.063133
72.930388,56,222.674623
97.605151,101,223.773529
68.37903,55,224.373784
65.707457,59,233.13437
77.631102,63,233.81163
67.032133,64,234.516654
73.681345,75,235.337662
87.105114,78,236.18055
82.10014,78,237.051185
78.6226,69,237.804927
87.874791,87,246.827288
73.966091,62,247.529909
81.451392,67,248.250372
98.201641,90,249.242195
62.940561,53,249.808922
76.800332,59,250.450493
70.676767,58,251.08064
112.568564,125,260.537594
89.719104,85,261.460694
17.565847,25,261.726267
76.748581,64,262.419841
69.329133,53,263.003247
87.100475,77,263.836604
