#{"t_start": 1619402818.8809888, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
6.623151,12,0.307159
26.188873,24,0.576181
28.686033,24,0.840042
19.252089,13,0.99014
26.585273,25,1.298018
26.403472,21,1.53133
28.269691,28,1.848435
27.578445,20,2.076536
42.221757,39,2.518352
26.317965,22,2.760438
27.106606,21,2.99484
36.640513,29,3.316973
20.037591,15,3.484874
21.085772,15,3.653979
26.837712,24,3.925312
29.633902,27,4.22683
32.3457,25,4.507748
36.890466,28,4.817705
28.705329,30,5.153594
30.576578,25,5.429683
21.837329,16,5.605371
24.226352,18,5.808614
44.070092,40,14.333483
16.894875,12,14.472147
17.624375,12,14.609609
16.535352,10,14.721847
21.655478,15,14.89306
25.288559,20,15.1182
14.805162,9,15.215067
22.714025,31,15.566951
21.762814,19,15.783881
19.974548,24,16.049199
23.910069,17,16.245344
21.141293,21,16.490071
24.331949,17,16.683428
16.954364,12,16.816972
21.525828,22,17.06244
21.921708,16,17.2419
38.760076,37,17.654414
14.591444,9,17.754747
21.31237,19,17.971605
29.389061,24,18.24097
38.651998,47,18.771623
21.543306,15,18.938104
24.809414,17,19.126933
40.802988,34,19.508499
24.347633,17,19.697683
17.543328,18,27.955025
18.674444,13,28.100514
27.516867,23,28.35635
27.749527,23,28.609354
16.752413,13,28.753454
29.321745,24,29.013735
29.226891,29,29.335688
26.122727,23,29.588599
18.52551,12,29.722249
15.954974,9,29.825117
20.672482,21,30.056969
14.680147,10,30.16835
31.653478,28,30.482497
31.470061,32,30.838655
23.826317,17,31.025204
24.026168,17,31.217007
24.854198,22,31.456289
27.672269,22,31.70092
24.164351,23,31.95671
44.636648,45,32.459149
13.235195,8,32.548729
20.668164,19,32.760593
28.301983,24,33.027417
31.068469,23,33.282577
20.577724,15,33.447039
46.59117,56,42.197283
30.010054,25,42.472424
23.914976,21,42.703977
30.87509,25,42.975553
27.672905,26,43.261039
24.009641,27,43.551725
33.213148,26,43.846498
22.727124,28,44.160355
40.564795,36,44.556928
21.478588,23,44.809199
32.667454,41,45.260738
17.905596,13,45.403913
33.769212,34,45.778493
39.223311,30,46.108385
26.959172,25,46.383334
28.899921,24,46.650458
33.123071,30,46.978149
76.511044,80,55.976662
26.460649,31,56.313151
22.829163,17,56.498779
31.301438,27,56.794985
26.723403,36,57.194905
26.722993,26,57.480622
22.315119,22,57.723362
25.360484,26,58.013339
21.18211,14,58.166101
28.665891,27,58.461743
28.004995,28,58.767336
36.964359,35,59.145108
44.999679,45,59.642179
42.832663,44,60.119172
77.015006,89,69.19574
17.740866,14,69.346445
52.897858,58,69.974335
31.420837,44,70.475261
48.177535,55,71.079983
38.640859,37,71.486039
38.323036,33,71.853186
32.718325,53,72.453003
20.581583,18,72.651778
59.153514,60,73.31047
57.362474,70,74.077586
68.366975,67,82.93267
32.271322,33,83.296582
53.606676,57,83.918211
27.980605,71,84.697833
15.938219,13,84.841133
68.883995,78,85.701711
37.399009,38,86.107948
15.186174,23,86.356438
42.532383,50,86.905812
76.025885,141,88.463988
69.64679,78,97.272184
73.836216,71,98.069762
60.996193,71,98.852727
