#{"t_start": 1619402818.859561, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
20.924541,14,0.342527
20.293322,18,0.543761
19.10848,19,0.754573
28.43337,24,1.025549
19.909286,15,1.196002
32.008031,26,1.510245
23.130548,18,1.708608
18.973421,12,1.847224
32.288853,29,2.187181
31.63112,25,2.463855
12.391103,7,2.542392
20.654508,14,2.694048
25.39524,23,2.950685
23.991135,19,3.164058
15.754801,10,3.273164
15.533005,10,3.385891
20.660967,16,3.564217
15.145231,9,3.665142
15.752941,11,3.795084
20.715908,15,3.960102
17.160441,11,4.084337
23.27363,18,4.283947
37.194559,36,4.687847
22.842233,23,4.943169
34.688596,32,5.298289
23.227053,22,5.54175
28.740357,24,5.80761
21.404492,18,14.088529
41.615866,40,14.541281
27.876023,26,14.835764
26.153981,23,15.093961
22.677239,18,15.297612
22.333157,20,15.522109
14.152495,10,15.636085
17.380307,14,15.79607
21.796502,17,15.983034
20.813756,16,16.16576
27.087685,28,16.491482
31.587378,28,16.80697
28.07893,25,17.086425
14.361736,9,17.183378
31.990145,27,17.486768
16.151871,10,17.602157
28.339769,24,17.870627
19.364023,15,18.040765
18.288518,16,18.220896
19.072151,15,18.386785
19.296621,22,18.635571
18.552978,13,18.783393
14.581463,9,18.882108
47.714733,47,19.406715
16.444742,10,19.520225
23.499787,18,19.721864
29.696054,29,28.100723
21.55155,15,28.269245
28.326869,27,28.567589
33.234314,26,28.852279
17.469845,13,28.992568
33.865157,31,29.336089
42.065561,36,29.734724
28.729777,25,30.014071
21.129876,18,30.214995
15.493958,12,30.350303
22.395094,16,30.528007
18.83956,12,30.662661
33.936209,33,31.027126
50.106786,43,31.503332
14.985281,8,31.592087
23.908426,19,31.801651
36.174755,34,32.1869
24.90148,21,32.415512
19.283668,15,32.583627
18.024479,12,32.719726
13.23867,7,32.795554
25.989274,26,33.087007
38.500401,32,33.436554
40.160881,66,42.299781
18.38798,13,42.44081
26.904632,24,42.705824
31.111328,30,43.032831
37.456522,46,43.531972
26.672842,27,43.836202
33.203588,37,44.251011
28.150973,35,44.635634
28.989518,28,44.942656
22.86591,22,45.185196
11.402473,7,45.262205
34.980024,34,45.636403
16.278811,11,45.754842
26.748225,22,45.997552
40.592316,48,46.527662
23.302665,19,46.740485
38.347725,37,47.160109
33.102775,31,55.604955
26.460061,24,55.867204
34.941308,30,56.19448
41.808473,41,56.640994
42.254984,44,57.128368
28.956245,45,57.627664
35.329166,30,57.958812
19.73297,17,58.146348
25.452838,25,58.419741
35.312814,39,58.844806
54.616767,49,59.380752
28.872092,52,59.949945
41.723913,36,60.338468
33.234657,29,60.654966
77.532046,76,69.583204
28.818327,25,69.856232
30.886863,56,70.487414
39.202873,38,70.909165
42.536857,42,71.362311
45.465308,43,71.841981
40.099554,31,72.201871
67.002217,60,72.86206
45.046426,58,73.498242
49.931345,60,74.156776
32.477917,39,74.585922
50.73169,49,83.24362
48.74408,53,83.817347
39.943179,39,84.243795
50.93555,77,85.097135
45.746966,62,85.779787
47.617149,53,86.34702
36.728877,73,87.160047
72.619722,78,88.018273
54.207504,66,96.695686
63.788689,130,98.139936
85.43133,99,99.228667
67.680818,61,99.905109
61.446007,125,101.257362
80.263193,74,102.072993
45.911076,45,110.615688
63.325902,143,112.178678
40.947394,58,112.821132
11.885778,8,112.909729
83.65771,88,113.859359
57.028778,65,114.576336
54.134026,44,115.047384
49.306717,125,124.491801
15.033308,11,124.609178
63.684069,46,125.103968
52.909984,60,125.752782
34.93207,95,126.793192
54.642309,49,127.321515
37.3416,88,128.274388
63.725502,62,128.944862
64.458463,59,137.575245
36.936542,71,138.351705
79.577377,75,139.163791
52.591184,94,140.187889
57.09372,45,140.676761
70.67735,73,141.473361
91.919939,83,142.374202
40.739774,116,151.736845
105.191207,116,153.012659
45.599167,68,153.755741
45.252055,108,154.937173
37.587807,91,155.918902
89.299242,93,164.901602
38.657903,44,165.389837
35.57394,98,166.449888
118.572572,144,168.014194
78.728479,76,168.83788
70.385922,61,169.510372
138.876313,161,179.337834
63.948098,63,180.023931
87.01964,86,180.949487
35.950468,41,181.393062
83.076314,71,182.185229
72.835215,77,183.012827
61.920169,66,183.723072
86.086911,74,192.539669
87.789223,82,193.422735
64.317569,55,194.012988
63.843125,61,194.679845
70.133836,73,195.469927
80.703676,65,196.172173
81.529584,67,196.894364
96.958361,111,206.171389
88.326596,75,206.984627
23.000086,25,207.254495
73.322625,76,208.084258
82.260786,69,208.831954
87.930747,74,209.642461
77.253558,70,210.40311
70.793131,56,219.103493
82.551471,78,219.959576
78.452211,70,220.725488
82.456724,74,221.524258
81.437486,65,222.248845
22.631136,89,223.211646
64.245425,48,223.733857
74.040204,67,224.466177
49.930504,40,233.018871
73.337421,62,233.687985
21.424211,16,233.859772
69.276855,63,234.554199
82.300151,70,235.319386
71.666601,58,235.939225
60.629804,61,236.630771
17.15292,19,236.83827
82.895133,79,237.691054
75.6671,61,238.364712
84.831465,72,247.241267
94.24415,82,248.133482
79.966184,70,248.909196
102.472983,98,249.962407
84.587911,78,250.81602
26.665842,67,251.541357
80.198418,72,260.413827
56.86802,49,260.955541
14.637408,12,261.088481
73.481859,65,261.785009
64.436933,62,262.456634
127.908504,123,263.797475
87.545138,79,264.664172
97.749909,103,273.935441
71.31613,61,274.61185
85.708996,86,275.546863
62.372979,54,276.127015
103.897385,107,277.2987
71.341683,57,277.914072
76.848579,63,278.592176
77.096123,60,279.239009
86.144913,73,288.050051
