#{"t_start": 1619402818.872063, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
34.176529,32,0.53691
31.807192,34,0.913244
22.047127,18,1.11878
25.825844,22,1.393965
24.317873,20,1.614401
13.662135,8,1.701855
28.930626,25,1.991403
23.327654,17,2.190588
26.282861,21,2.422889
16.110614,9,2.523084
19.856504,15,2.687025
24.189338,19,2.898075
19.319401,14,3.05674
16.187615,9,3.156964
25.016942,21,3.389277
19.075461,16,3.569102
24.831329,18,3.775868
14.779699,9,3.875757
24.973761,20,4.099057
18.398869,17,4.287653
16.907511,12,4.421491
23.99396,22,4.669134
28.830315,25,4.946415
28.269284,23,5.203324
24.254649,17,5.390815
28.261642,21,5.621665
17.594079,13,5.76751
29.429879,23,14.104912
21.199958,16,14.284433
25.626812,25,14.56726
14.604443,9,14.670051
24.743245,19,14.886954
24.72175,20,15.112636
16.251531,11,15.231798
21.584902,20,15.455783
24.05578,20,15.685922
26.076839,19,15.898513
41.860862,42,16.376008
30.416912,24,16.655328
34.93909,33,17.025215
23.249682,17,17.210288
35.971133,32,17.571524
24.229607,26,17.863928
27.665293,24,18.135076
19.905605,12,18.268417
19.321314,14,18.425305
14.649917,9,18.530067
23.100671,17,18.718984
20.656394,13,18.863376
20.415135,12,18.99894
24.715522,22,19.241242
15.701011,8,19.332218
15.607826,8,19.420361
23.217563,22,19.669878
19.399789,14,27.883623
30.384339,29,28.204764
27.599925,23,28.461566
26.423029,21,28.691875
34.384,31,29.029983
27.84714,22,29.274288
30.422483,28,29.583026
20.534364,15,29.749777
24.056847,20,29.972993
23.295355,19,30.185389
27.833704,25,30.464792
26.98483,23,30.723071
21.99792,17,30.9091
20.104296,14,31.064551
44.608488,44,31.550288
19.107452,16,31.728407
26.913617,20,31.950876
37.018394,32,32.310287
20.050889,17,32.496577
26.973291,30,32.833769
24.082544,19,33.04437
28.675218,27,33.341507
18.244955,16,33.517367
35.422898,31,41.984066
35.841465,38,42.411453
27.825058,31,42.752522
26.615742,24,43.013994
40.03906,33,43.373597
17.646583,12,43.502763
25.503691,27,43.803141
28.143452,25,44.084369
31.239307,32,44.441422
19.04149,15,44.606057
26.620932,22,44.846973
22.886128,22,45.088163
27.717771,27,45.386575
41.50692,36,45.783321
29.788615,25,46.055469
44.032995,49,46.600395
40.134624,44,47.09456
14.732629,12,47.229467
26.146827,23,55.585493
30.220716,30,55.915122
33.066613,33,56.274767
32.877232,31,56.611684
30.709594,27,56.913861
72.553394,67,57.652643
37.268675,38,58.072624
28.756856,28,58.379939
26.514856,22,58.619145
63.806995,63,59.307851
40.782356,42,59.7666
45.435234,45,60.254654
34.972215,34,60.624491
27.754367,29,60.942315
45.063214,37,69.447737
52.458259,57,70.069182
43.102828,46,70.595167
42.14267,50,71.138402
31.776546,30,71.469821
34.390944,30,71.796302
46.943346,55,72.42454
21.601783,21,72.656148
70.935119,58,73.294231
76.664157,66,74.016367
21.118974,16,74.193599
91.298771,115,83.571254
34.762442,69,84.323726
39.758427,41,84.782183
33.656301,52,85.353381
73.893906,81,86.231531
37.292258,56,86.83937
37.501851,31,87.197799
41.99464,51,87.762379
41.132625,46,88.258034
63.269312,67,96.949739
34.862571,37,97.354176
48.565136,56,97.98419
53.39235,62,98.674687
22.345527,48,99.199191
95.46902,119,100.502265
77.717985,67,101.226001
65.024857,66,101.957967
84.320449,91,110.997959
52.209281,50,111.540668
23.310241,82,112.443717
86.118995,87,113.401151
75.349012,62,114.075139
71.55613,90,115.052632
66.762816,65,123.841642
86.850828,73,124.634047
34.437127,85,125.552309
86.190512,82,126.451963
64.338219,61,127.110059
58.573373,60,127.758395
62.651842,66,128.472881
96.862117,99,137.533186
69.870585,56,138.143582
76.39391,74,138.95389
60.591273,57,139.571017
32.545856,86,140.507407
62.610772,53,141.084608
59.250457,49,141.618883
76.370634,150,151.349684
63.678804,53,151.927955
96.09083,88,152.895855
75.083773,68,153.639014
60.430476,50,154.193808
97.792218,181,156.147314
84.336192,87,165.070763
76.079755,61,165.739213
68.926295,57,166.356819
74.836393,65,167.055782
82.813049,81,167.941074
79.837048,73,168.732998
66.177924,49,169.273037
59.403294,56,169.877085
78.410059,72,178.74662
57.025585,50,179.286525
21.629705,23,179.538645
89.898664,95,180.559643
51.507058,89,181.529346
100.880462,86,182.478329
89.495053,84,183.379028
67.340708,66,192.104751
73.001583,58,192.736242
97.7082,91,193.715804
53.926198,52,194.279643
64.128873,50,194.824906
65.14888,59,195.462762
96.51501,115,196.70546
72.09138,154,206.442931
123.618286,143,208.001388
69.054382,60,208.647524
62.512516,56,209.265184
77.291689,75,210.079357
98.386188,103,219.294222
73.370402,56,219.908598
116.817501,116,221.16788
64.239159,55,221.76991
68.872,59,222.42496
33.791083,87,223.366253
93.782907,81,224.250737
68.237544,61,233.035374
79.984187,84,233.944448
19.149423,19,234.1546
67.709819,61,234.817067
83.461195,80,235.685813
90.332184,94,236.733538
77.561108,76,237.553997
80.453914,67,238.293063
106.989079,105,247.538179
88.825776,74,248.337658
71.526219,59,248.992972
101.252928,99,250.052693
130.535989,162,251.818638
75.91476,62,260.592847
137.637938,145,262.16101
80.265325,74,262.966838
72.467282,61,263.628682
118.056767,180,265.594582
101.203512,106,274.906813
86.209721,76,275.734212
94.498328,82,276.62506
79.988031,69,277.37829
54.842914,57,277.992208
71.654557,65,278.691325
103.646117,91,287.695764
91.818365,89,288.658639
52.013188,57,289.281603
80.070064,74,290.097575
79.714362,75,290.905639
97.601296,85,291.826518
73.063619,83,292.729153
83.420218,72,301.599653
73.587964,63,302.293398
17.507658,88,303.249405
68.903059,57,303.883934
109.409829,127,305.263354
13.550447,9,305.36008
84.600962,68,306.094852
32.277144,81,314.97358
68.776814,56,315.578008
82.902904,72,316.355831
74.495805,63,317.032885
117.750421,115,318.284094
82.71089,66,319.008248
58.307683,51,319.574765
112.320855,105,328.80783
86.742475,98,329.884102
66.632714,63,330.570113
63.737095,56,331.176898
89.956563,76,331.997671
70.254285,66,332.722328
85.731993,86,333.64965
83.965664,85,342.667681
90.983082,74,343.474512
83.63994,79,344.339838
80.347677,64,345.04494
87.711759,71,345.823266
20.675069,22,346.0644
85.809545,90,347.033288
68.88962,58,355.796576
78.795078,67,356.523293
33.632037,31,356.85644
100.886158,101,357.953085
76.289334,63,358.636218
99.594502,86,359.576666
94.777371,86,360.520154
132.446611,136,370.092616
83.481886,75,370.915487
78.732844,69,371.666167
120.374205,106,372.869917
114.882047,91,373.862233
16.900921,16,374.035836
130.543924,132,383.609299
68.058568,51,384.156798
97.053752,86,385.128105
119.407303,121,386.445228
137.490206,138,387.944258
88.268441,78,396.851808
142.422817,161,398.598113
104.129226,109,399.772635
141.062821,120,401.067382
129.628286,145,410.779464
91.009596,92,411.780394
74.354302,74,412.584144
37.718679,102,413.692217
134.63182,116,414.966952
182.512331,248,425.759678
124.888506,105,426.900155
89.343177,73,427.684501
140.11823,136,429.164979
135.734103,122,438.528181
120.737539,120,439.827152
153.302127,163,441.605983
64.750679,93,442.622016
87.795298,93,451.70923
94.569581,89,452.673278
34.821037,42,453.125729
146.567399,145,454.718618
150.761007,158,456.427038
155.594097,147,466.045131
99.012897,104,467.184188
200.069783,196,469.3328
48.837777,55,469.941594
84.627643,69,478.684021
126.856453,123,480.038398
178.517515,173,481.93389
22.514535,20,482.161094
96.989577,119,483.452444
162.225897,153,493.229835
180.154319,185,495.222166
55.074389,60,495.875107
126.671528,116,497.128095
125.543347,117,506.475238
128.133832,125,507.825586
190.958934,180,509.784554
135.122232,134,511.227794
235.189569,197,521.469482
97.242525,109,522.703944
145.910096,135,524.178292
146.571692,130,533.638834
209.168797,201,535.833095
147.869021,151,537.469896
216.793306,207,547.79437
176.272581,172,549.662126
244.613503,214,551.992601
42.45482,41,552.446322
162.985659,143,562.067581
115.278091,104,563.200584
80.384754,72,563.966503
224.743138,187,565.990382
153.970595,124,575.463875
169.223192,159,577.194363
105.123463,94,578.205984
156.204045,127,579.586499
348.017367,307,590.996293
29.849179,29,591.305065
286.393899,238,601.991941
161.56673,182,603.958542
162.480251,132,605.395867
148.860186,137,606.931886
171.148151,131,616.410453
165.552357,156,618.081878
198.235452,159,619.781025
329.58766,277,630.813031
335.859097,278,633.806894
241.734534,183,643.822854
239.138425,230,646.322952
253.518218,218,656.736742
149.874759,126,658.09909
92.140786,81,658.968134
393.78086,323,670.529569
56.951999,61,671.178316
246.248004,221,673.554306
418.031061,316,685.061405
471.464972,386,697.260288
259.18501,201,699.398304
199.590587,165,701.159698
63.812772,59,701.794193
382.166287,296,713.128008
340.743799,287,724.300274
366.925813,312,727.669331
118.259293,98,728.744132
355.275054,270,739.631901
103.747936,89,740.596023
462.07481,332,752.214136
756.681881,597,766.723411
129.732455,108,767.888027
314.145095,250,778.661452
141.316144,105,779.776531
