#{"t_start": 1619402818.884845, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
13.909072,13,0.315307
15.188017,8,0.40616
18.647873,13,0.551428
32.043623,34,0.928904
38.697074,39,1.396443
28.825438,26,1.681315
24.643864,23,1.948166
21.474987,14,2.106649
29.614151,31,2.460146
25.061827,20,2.678944
25.261939,24,2.946366
24.204367,21,3.182091
20.236296,13,3.325156
12.459882,7,3.402586
19.052507,13,3.549555
36.558899,43,4.035529
37.631308,30,4.36658
23.830384,20,4.593523
23.073268,18,4.792836
15.499066,10,4.904631
22.629188,16,5.08355
35.716216,33,5.449144
17.19756,11,5.569376
18.517022,11,5.690456
16.674108,10,5.805803
18.811354,12,14.014682
25.845662,20,14.242321
23.794144,20,14.469364
22.747324,15,14.639757
15.658115,10,14.753708
18.647085,15,14.922772
12.51441,8,15.010594
16.938462,11,15.137228
19.111407,13,15.282408
18.208612,14,15.435639
18.224089,12,15.575926
21.263281,16,15.757794
27.963555,23,16.01233
26.254724,26,16.310314
24.93846,18,16.51946
15.959422,10,16.635572
19.905572,19,16.847384
34.905911,36,17.250801
30.599864,31,17.59808
17.229587,12,17.729624
20.970406,14,17.888176
39.52898,37,18.305791
47.269696,51,18.878649
18.899803,13,19.024052
15.69974,10,19.134577
15.670929,9,19.233032
26.60018,22,19.481497
18.966425,11,19.605267
34.635916,32,28.017575
47.71387,62,28.70673
22.988233,20,28.921414
34.749639,34,29.29842
31.044761,35,29.683963
20.130004,17,29.877547
19.335944,16,30.054279
15.470773,9,30.15393
25.808498,21,30.38977
27.880863,24,30.657743
13.713172,9,30.758674
22.742793,19,30.967006
22.950992,19,31.1806
21.684893,14,31.332604
21.840164,20,31.553426
16.25339,12,31.68626
14.851012,15,31.853615
19.765722,15,32.020063
14.304892,9,32.123124
18.953159,13,32.268814
23.571395,23,32.522115
23.691671,24,32.791573
25.423625,24,33.059667
18.638315,13,33.20252
21.928505,18,33.398554
16.961688,12,41.637748
39.950486,38,42.076416
39.36617,36,42.480611
16.377426,24,42.744476
21.677447,22,42.9835
27.962822,24,43.246823
28.407514,32,43.593199
34.387155,41,44.053092
24.401252,23,44.311606
20.939898,20,44.531814
28.847974,21,44.763077
27.069073,25,45.034515
30.425915,28,45.345597
37.429893,36,45.739924
38.552491,37,46.149193
31.146237,33,46.512479
25.611452,24,46.779147
30.475103,30,47.121013
61.801075,70,55.995341
27.379334,25,56.266759
34.444842,33,56.626074
52.135275,56,57.246598
28.791648,28,57.557045
55.71683,50,58.107877
17.019728,11,58.228415
