#{"t_start": 1619402818.876579, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
11.653559,8,0.265351
19.510025,15,0.43338
26.519467,22,0.679752
20.289264,16,0.854003
14.421345,9,0.956956
24.05214,21,1.203197
31.77305,34,1.600799
25.35832,25,1.886892
18.560572,15,2.057086
22.688929,23,2.321306
22.938171,19,2.53297
18.351886,12,2.661501
29.942719,22,2.907426
23.105423,20,3.131657
18.231792,12,3.263873
22.191815,16,3.443897
17.067325,10,3.554697
15.789702,10,3.669611
38.929069,38,4.096949
20.252747,14,4.251669
18.64958,14,4.406796
23.154923,21,4.643499
25.745083,20,4.865631
25.169285,22,5.112475
20.410039,17,5.300065
22.415573,20,5.52029
25.479042,26,5.809813
16.394362,14,14.04311
17.698186,12,14.18135
18.371725,16,14.359637
26.716342,21,14.599656
25.636262,24,14.872971
16.849402,12,15.004434
23.391048,22,15.252122
19.565962,19,15.465904
20.472762,13,15.614749
15.911958,13,15.763108
27.976321,23,16.017465
22.594992,22,16.270951
20.413545,13,16.420381
19.638811,17,16.61953
30.445818,24,16.888007
21.896391,20,17.109344
17.517845,12,17.243841
25.826641,23,17.502626
23.757463,31,17.848624
15.85619,10,17.962557
23.274534,24,18.232537
26.289211,25,18.515813
26.443636,24,18.785605
15.894204,13,18.928701
26.51261,30,19.260361
20.596975,15,19.429216
16.362676,10,19.544666
13.410266,8,19.633387
36.9592,34,28.068207
41.844665,58,28.712116
26.489172,23,28.960378
20.430535,16,29.137526
24.600952,18,29.33784
33.615477,36,29.735842
34.190191,30,30.071796
33.595587,33,30.440227
24.097211,18,30.641209
27.669357,23,30.895082
28.036977,26,31.185973
19.968941,15,31.349781
20.10123,23,31.603564
17.872781,13,31.747309
14.391221,8,31.836069
20.947661,24,32.102252
32.376638,29,32.42747
17.886372,11,32.550795
29.471994,22,32.796999
33.803136,34,33.174615
29.182483,25,33.449129
32.133933,29,41.894214
59.265802,57,42.530472
34.956534,31,42.869795
27.518675,29,43.187604
31.109582,28,43.48877
18.211075,12,43.622146
22.307456,19,43.837859
35.437153,32,44.196542
11.74351,10,44.306131
31.292434,31,44.648245
14.784396,9,44.747234
24.573309,18,44.943856
24.381366,19,45.152343
27.088777,27,45.452394
35.372285,29,45.76958
