#{"t_start": 1619386317.2422972, "env_id": "AntBulletEnv-v0"}
r,l,t
516.701082,1000,22.476301
466.244102,1000,54.909442
447.089225,1000,85.956006
470.280713,1000,116.779825
522.613123,1000,147.506078
534.67854,1000,178.458093
545.729321,1000,209.426406
533.437077,1000,239.870026
549.309586,1000,270.33722
507.198926,1000,300.474019
652.873508,1000,330.606189
614.52337,1000,360.359348
692.07027,1000,390.166426
753.911004,1000,420.040593
741.588144,1000,449.80192
750.190465,1000,479.619307
642.033713,1000,509.516243
875.661661,1000,539.583752
898.687477,1000,569.455836
978.382124,1000,612.607573
1040.468072,1000,645.008245
783.407564,1000,667.69135
1035.440306,1000,703.492284
935.948272,1000,737.268157
1190.883006,1000,769.997918
1087.361005,1000,804.009104
1314.385985,1000,835.080192
1305.20198,1000,866.620092
1200.65057,1000,899.935909
1317.996769,1000,930.932739
1419.829536,1000,961.156692
1426.790626,1000,991.813254
1470.182343,1000,1022.521148
1522.14853,1000,1053.401504
1583.614523,1000,1095.777126
1519.884348,1000,1130.621916
1593.67687,1000,1161.194594
1566.901944,1000,1193.357416
1703.661966,1000,1224.00975
1660.160536,1000,1254.563735
1736.884742,1000,1284.858433
1715.764156,1000,1315.282069
1816.958796,1000,1336.736949
1766.799922,1000,1366.694297
1810.871583,1000,1396.530994
1926.866851,1000,1426.371118
1943.894487,1000,1456.135462
1854.462922,1000,1485.949037
2026.396886,1000,1515.777449
1949.177127,1000,1545.558131
1947.521739,1000,1575.425268
2016.938588,1000,1605.240928
1966.990392,1000,1635.204565
1982.346955,1000,1665.056486
2057.664303,1000,1695.045414
1993.725856,1000,1724.884521
1930.317285,1000,1754.682043
2043.520792,1000,1784.480525
2037.216901,1000,1814.372914
2100.826143,1000,1844.29192
2075.224009,1000,1874.064149
2123.886643,1000,1903.824371
2113.940788,1000,1933.523788
2133.778725,1000,1954.801061
2114.327955,1000,1984.598133
2174.535698,1000,2014.338223
2156.95364,1000,2044.064048
2173.947474,1000,2073.793102
2215.119417,1000,2103.533672
2167.863472,1000,2133.368801
2186.812015,1000,2163.080801
2167.944323,1000,2192.782843
2259.934209,1000,2222.494313
2152.234127,1000,2252.190165
2260.142228,1000,2282.047686
2159.907573,1000,2311.745532
2214.105743,1000,2341.577851
2239.185554,1000,2371.275354
2240.035008,1000,2400.832406
2242.178094,1000,2430.615187
2360.597745,1000,2460.971171
2345.254311,1000,2490.812572
2349.01647,1000,2520.568754
2383.719165,1000,2550.307529
2363.31026,1000,2580.031645
2311.978775,1000,2601.280956
2394.324859,1000,2630.881395
2166.310816,1000,2660.54674
2392.999667,1000,2690.270933
2424.612984,1000,2719.933137
2374.455485,1000,2749.616531
2491.607369,1000,2779.320816
2395.95653,1000,2809.048244
2437.143388,1000,2838.737273
2476.561593,1000,2868.420459
2403.224242,1000,2898.098044
2388.48198,1000,2927.708994
2454.835059,1000,2957.413409
2533.397545,1000,2986.987311
2536.052099,1000,3016.658302
2556.22598,1000,3046.368936
2643.998864,1000,3075.947137
2534.630899,1000,3105.59615
2342.011552,1000,3135.253175
2574.290321,1000,3164.914911
2626.022657,1000,3194.503334
2665.323359,1000,3215.649978
2488.660896,1000,3245.365488
2628.793775,1000,3274.940306
2578.901782,1000,3305.251937
2587.73907,1000,3334.893407
2674.38523,1000,3364.519859
2708.665762,1000,3394.083984
2679.177578,1000,3423.646372
2691.774849,1000,3453.170955
2654.80382,1000,3482.69749
2706.171811,1000,3512.278799
2305.214554,1000,3541.77412
2625.466227,1000,3571.388094
2773.311818,1000,3600.962985
2786.159741,1000,3630.589927
2458.852765,1000,3660.087905
2593.916554,1000,3689.698486
2771.1156,1000,3719.411811
2812.302498,1000,3749.210822
