#{"t_start": 1619386317.235989, "env_id": "AntBulletEnv-v0"}
r,l,t
432.971573,1000,22.477723
503.025932,1000,54.911013
8.94533,142,65.581237
426.74178,1000,96.204101
494.406433,1000,127.173912
487.186701,1000,157.752567
539.0983,1000,180.544913
570.636493,1000,211.371306
563.014809,1000,241.821426
562.946608,1000,272.23494
604.950008,1000,302.333139
669.959593,1000,332.476434
643.220288,1000,362.231337
701.897314,1000,392.039949
654.045089,1000,421.918491
801.849954,1000,451.652877
847.123929,1000,481.490332
824.912832,1000,511.426715
915.547995,1000,541.45194
931.551617,1000,571.505459
944.883171,1000,614.784209
978.064789,1000,647.074755
1055.815876,1000,679.119311
1062.798691,1000,715.332776
1160.137776,1000,748.330238
1167.567971,1000,782.743007
1238.499343,1000,814.144811
1295.008886,1000,845.723401
1192.674724,1000,868.706155
1270.144579,1000,902.101514
1327.622582,1000,932.926059
1435.343848,1000,963.137571
1480.006146,1000,993.847796
1449.972483,1000,1024.552054
1540.732754,1000,1055.379787
1466.591315,1000,1098.525578
1607.479514,1000,1132.718321
1643.926182,1000,1163.27448
1580.258695,1000,1195.168794
1657.127894,1000,1225.962011
1754.804879,1000,1256.441867
1642.882061,1000,1286.708941
1833.320019,1000,1317.119004
1817.001077,1000,1347.023115
1864.648428,1000,1376.990647
1856.856335,1000,1406.819906
1874.941589,1000,1436.61971
1873.723397,1000,1466.35267
1935.386752,1000,1496.224693
1954.676923,1000,1517.590267
2011.629377,1000,1547.367791
2008.33386,1000,1577.221855
2009.709836,1000,1607.137491
1999.792026,1000,1637.028498
1969.548118,1000,1666.878852
1895.513651,1000,1696.87774
2093.139313,1000,1726.690538
2015.343079,1000,1756.511682
2123.139526,1000,1786.292823
2164.365508,1000,1816.190582
2054.876455,1000,1846.11439
2089.391385,1000,1875.882674
2058.19518,1000,1905.654024
2169.012056,1000,1935.342701
2120.860436,1000,1965.116304
2197.432397,1000,1994.898031
2107.686914,1000,2024.621971
2149.904111,1000,2054.34753
2160.550607,1000,2084.053369
2172.887604,1000,2113.867019
2194.673129,1000,2135.194912
2192.433982,1000,2164.883082
2105.777216,1000,2194.595767
2140.225761,1000,2224.313103
2270.030003,1000,2254.00176
2234.303907,1000,2283.867186
2227.353166,1000,2313.547233
2268.13574,1000,2343.38442
2127.532717,1000,2373.074627
2337.84345,1000,2402.636828
2243.521158,1000,2432.505984
2314.353561,1000,2462.784824
2399.102252,1000,2492.652581
2229.93094,1000,2522.396776
2344.96699,1000,2552.130098
2333.173169,1000,2581.832902
2399.209693,1000,2611.545769
2496.252439,1000,2641.129299
2391.819069,1000,2670.820902
2318.963335,1000,2700.534801
2449.75309,1000,2730.209981
2361.81656,1000,2759.882718
2377.460047,1000,2781.12387
2453.113313,1000,2810.849249
2440.566165,1000,2840.535146
2487.466926,1000,2870.212351
2561.256898,1000,2899.877954
2519.060061,1000,2929.501399
2504.12325,1000,2959.212899
2453.095571,1000,2988.780148
2444.849683,1000,3018.475701
2562.653122,1000,3048.168475
2528.904931,1000,3077.736395
2629.772302,1000,3107.40045
2587.308048,1000,3137.073324
2470.59961,1000,3166.722541
2510.243031,1000,3196.299881
2653.15355,1000,3225.927213
2680.33681,1000,3255.609377
2511.784573,1000,3285.486354
2662.487922,1000,3315.545034
2607.153909,1000,3345.192093
2591.489017,1000,3374.755778
2633.407998,1000,3395.868907
2726.893667,1000,3425.442329
2792.257173,1000,3454.971113
2641.080898,1000,3484.492292
2623.787839,1000,3514.073922
2718.730995,1000,3543.567812
2695.79609,1000,3573.185592
2708.015442,1000,3602.750504
2832.423372,1000,3632.38145
2672.666282,1000,3661.88735
2625.440799,1000,3691.507304
2732.300059,1000,3721.312633
2812.610409,1000,3751.014293
