#{"t_start": 1619393481.2300491, "env_id": "HopperBulletEnv-v0"}
r,l,t
20.246871,8,0.235496
22.09246,14,0.350625
25.227265,14,0.465709
24.757307,9,0.564298
26.19738,10,0.657507
20.582318,7,0.719524
21.898226,8,0.789413
31.044496,14,0.902144
26.269889,12,1.001497
17.002432,5,1.04184
31.968773,19,1.194725
34.467611,20,1.364117
22.939558,9,1.436964
32.893831,17,1.574123
25.99131,10,1.655334
33.536102,28,1.894316
24.898941,9,1.967797
28.90416,17,2.104321
28.473157,13,2.209895
26.080799,12,2.30734
22.961759,9,2.381605
28.524472,16,2.511249
34.346648,22,2.690519
24.786834,9,2.763034
21.002243,12,2.862175
37.764305,24,3.057773
29.924616,14,3.170022
23.449074,9,3.242543
22.328225,8,3.307931
19.323522,6,3.357191
33.751419,17,3.493135
30.505293,14,3.606503
22.897185,8,3.671731
26.275443,11,3.761892
23.922644,10,3.842901
30.348078,16,3.97312
31.258322,18,4.119479
29.115751,14,4.231253
33.71232,22,11.467836
22.533818,8,11.533736
29.249748,12,11.631834
32.819912,16,11.762893
21.63741,7,11.821153
19.315139,6,11.871535
26.438476,36,12.162939
33.966156,17,12.29925
23.101524,8,12.364583
23.573767,11,12.454454
23.548485,8,12.520099
33.494308,27,12.740752
23.069321,8,12.81197
22.745129,7,12.871121
29.627297,14,12.986512
24.270251,9,13.059413
21.734717,7,13.117134
16.954709,6,13.165882
25.547704,10,13.246423
32.884815,18,13.394793
34.286726,22,13.573219
20.496353,7,13.629679
25.099473,11,13.719175
36.893855,20,13.881238
23.360964,12,13.979848
24.385639,12,14.07809
24.3476,9,14.150045
20.919558,7,14.207739
23.904026,9,14.27919
25.44635,9,14.353059
23.665154,8,14.41894
15.181983,5,14.46158
24.163174,10,14.543281
25.031679,11,14.635019
28.838487,16,14.766191
23.502349,8,14.830997
26.228168,12,14.933876
19.308022,10,15.020664
17.578529,9,15.093431
36.496442,32,15.353356
27.217491,14,15.466581
30.246366,16,15.596746
21.763681,10,22.752304
18.652796,7,22.808979
32.983407,18,22.955411
34.136334,23,23.140761
29.148896,15,23.262945
27.531086,13,23.368123
28.837168,15,23.48975
21.680612,9,23.564328
24.4967,12,23.661766
30.856808,16,23.789013
22.005269,13,23.891918
38.966781,24,24.084554
32.420196,18,24.230211
27.105366,11,24.32012
29.667786,15,24.440809
42.315569,25,24.642926
24.75916,10,24.723579
30.542858,17,24.861547
36.864564,28,25.086073
40.172841,29,25.319568
27.279274,14,25.430985
21.733661,10,25.510656
30.586259,15,25.631683
20.265914,9,25.703126
24.525061,13,25.807737
28.701116,14,25.921268
41.349538,27,26.136195
25.437856,10,26.220737
21.661663,10,26.30135
26.691441,11,26.389994
58.073738,45,26.751459
28.330739,17,33.948037
26.982022,12,34.044093
27.440776,13,34.148623
31.657784,16,34.27575
20.200407,15,34.398313
49.669285,35,34.691048
61.8865,77,35.307862
36.703411,22,35.48571
65.756565,45,35.83972
34.100968,19,35.989462
46.071263,35,36.265992
29.665551,19,36.416241
34.328299,23,36.599944
38.338262,54,37.02506
34.962592,24,37.215675
31.363761,16,37.341997
34.240862,20,37.517631
31.925662,18,37.658971
26.654637,13,37.76371
32.014765,18,37.906179
18.925335,41,45.308037
49.872344,38,45.608931
24.208762,34,45.8765
65.650757,63,46.372699
29.551881,18,46.514582
67.917585,42,46.844282
47.885625,37,47.135287
37.662166,45,47.490041
48.421725,37,47.788185
30.607232,19,47.947235
47.080178,35,48.235069
55.358398,44,48.583493
34.265775,23,48.763679
38.918174,26,48.966176
81.954122,53,56.428828
29.407668,20,56.585506
45.623422,27,56.795377
31.194472,27,57.004472
50.538676,39,57.309391
45.283381,33,57.571867
72.340751,59,58.031375
29.1198,17,58.164494
77.220594,55,58.593196
85.313864,74,59.169599
91.681387,74,59.766079
50.156113,43,60.102661
79.411915,65,67.696577
98.899843,89,68.386426
20.629994,13,68.485765
87.356769,69,69.021843
102.053454,79,69.634932
115.368221,95,70.379187
85.195746,73,70.949776
75.167309,51,78.471611
77.119837,74,79.041472
71.389548,63,79.533149
31.416135,27,79.751171
42.746543,34,80.015608
74.171778,59,80.472235
64.812591,72,81.030784
84.307146,73,81.59515
93.879611,68,82.136257
96.657824,75,89.796991
71.313985,56,90.227086
85.69706,68,90.75279
132.575574,95,91.488283
87.641206,70,92.031178
119.851026,89,92.726657
128.404366,86,93.394284
106.72564,78,101.093478
107.738924,90,101.789057
124.710509,101,102.571719
101.677807,60,103.034515
78.731168,58,103.483307
128.678409,91,104.19023
79.316775,52,111.659683
90.50782,65,112.164176
114.87347,83,112.80738
98.965966,77,113.400824
78.675743,73,113.966075
129.158109,87,114.64238
79.733403,56,115.07894
77.978847,54,115.511932
113.910104,72,123.159561
75.824405,67,123.675062
116.23645,79,124.285007
103.679029,79,124.920404
128.382333,74,125.530032
89.586225,58,125.997411
98.505759,72,126.572898
120.544543,87,134.262878
130.4426,88,134.943607
144.711862,102,135.732365
164.269253,131,136.742219
133.857378,89,137.441791
125.93447,90,145.261597
128.576296,92,145.981168
173.294551,124,146.947726
144.158282,104,147.764842
160.062603,139,156.006248
138.501222,98,156.77186
145.978229,110,157.631863
156.45626,111,158.492212
184.867858,137,159.562806
111.437257,93,167.504788
153.330723,119,168.424981
146.774487,127,169.415435
119.401949,101,170.206421
128.719662,104,171.022984
142.34385,88,178.75943
126.962759,78,179.356001
128.552978,81,179.987125
136.609934,89,180.667594
242.85624,135,181.718311
100.154175,98,189.561276
137.150711,99,190.330961
209.063144,209,191.951023
221.005864,161,193.20385
142.732017,90,200.977913
153.621799,106,201.790861
181.258853,131,202.801522
328.344723,280,212.050083
153.377421,90,212.736367
178.468663,133,213.756906
159.444055,97,214.495833
164.142514,97,215.244872
318.854885,179,223.694876
166.683547,98,224.445065
170.166105,111,225.29645
153.104564,81,225.923301
214.043383,132,233.997353
361.499207,228,235.741578
223.128964,162,236.975834
114.569824,65,244.577183
294.008603,193,246.047033
190.661514,108,246.864967
125.61013,97,247.603187
593.580392,359,257.452134
505.319898,299,266.821326
769.815381,543,278.078264
249.689514,126,279.033158
117.088418,71,279.570346
464.920015,307,289.0143
272.931193,151,290.183923
372.539679,205,291.743797
611.279062,380,301.743913
383.53533,198,303.248674
893.845407,461,313.848377
311.151047,145,322.046045
813.229749,424,325.26191
715.418758,386,335.245114
1500.403612,774,355.323191
238.388201,131,356.317688
1462.666314,854,376.989545
776.050122,397,380.034942
1969.3876,1000,401.790061
1993.080533,996,423.535058
1954.079572,1000,445.328545
1175.335219,571,456.734151
2108.405962,1000,478.473482
1308.762444,620,497.382804
1259.909063,612,509.15918
2147.672151,1000,531.006064
251.768097,130,531.985791
2158.044211,1000,553.888133
1114.54172,498,564.743589
2161.130272,1000,586.589718
2197.998638,1000,608.39524
1853.464013,831,621.825746
2158.947617,1000,643.641363
628.421624,287,652.921929
816.46639,369,662.822568
816.909079,378,665.680863
455.123563,223,674.455092
2173.175603,958,695.88196
183.432752,100,696.633077
1794.446312,796,709.788296
2089.532658,924,731.278104
573.415182,265,740.402486
554.298761,256,742.331256
1374.998351,619,761.21419
2256.925015,1000,775.8353
2323.238147,1000,797.605631
1394.178175,621,816.544214
2267.860734,1000,838.389305
2117.215969,927,852.542694
2375.091183,1000,874.355536
310.877265,156,882.636375
345.55819,176,883.954963
1228.96837,550,895.216372
2299.710817,1000,916.95738
2394.33509,1000,938.721198
2373.825645,1000,960.5149
2399.788129,1000,982.263742
2335.52928,1000,1004.049147
2414.54995,1000,1025.889241
2368.29531,1000,1047.697965
1561.185159,677,1059.936061
2435.384821,1000,1081.7738
2399.309733,1000,1103.510613
980.664798,443,1113.942495
2383.98456,1000,1135.649012
572.815234,280,1137.748241
2389.78947,1000,1159.544384
90.051629,51,1159.947433
2348.793545,988,1181.646871
2436.425288,1000,1203.417126
2385.341241,1000,1225.193957
2461.579977,1000,1246.966844
2444.539692,1000,1268.793523
2421.153184,1000,1290.695137
2464.044064,1000,1312.531494
2422.09601,1000,1334.411041
2433.980744,1000,1356.201078
753.411655,327,1365.828195
2487.771411,1000,1387.665724
2446.840477,1000,1402.412501
344.487742,159,1410.760246
483.274829,221,1412.427855
2498.782892,1000,1434.225931
2447.287137,1000,1456.036763
2476.154367,1000,1477.783001
2473.573822,1000,1499.605789
2438.825484,1000,1521.478197
2502.508513,1000,1543.258129
2479.417167,1000,1565.013371
2473.26281,1000,1586.808202
2487.4728,1000,1608.623506
1592.108385,654,1620.716655
2502.674043,1000,1642.474183
1793.619994,739,1655.212775
124.583387,81,1662.944735
2500.726621,1000,1684.763108
2452.459994,1000,1706.51101
2479.59843,1000,1721.211737
2483.572637,1000,1743.058949
2475.519714,1000,1764.854837
2501.984919,1000,1786.708105
2513.052065,1000,1808.513266
552.800114,243,1817.488929
2512.018537,1000,1839.356465
2484.98368,1000,1861.199123
2513.077988,1000,1883.188569
2488.037256,1000,1905.080097
2414.983513,1000,1926.970839
2468.386937,1000,1948.936331
2487.732719,1000,1963.712496
2539.989206,1000,1985.528915
2471.169014,1000,2007.349708
992.384065,432,2017.75181
2492.323151,1000,2039.616106
2506.25944,1000,2061.418148
2489.023993,1000,2083.242463
2514.112891,1000,2105.091883
2537.090211,1000,2126.910335
2514.484663,1000,2148.79924
2521.76613,1000,2170.766167
2499.124707,1000,2192.585254
2508.32282,1000,2214.43223
2387.21318,946,2235.896691
2473.82166,1000,2257.851798
2521.608196,1000,2279.769173
2526.028521,1000,2294.492097
2515.736148,1000,2316.334813
2515.945825,1000,2338.101765
2532.175388,1000,2359.957211
2538.996317,1000,2381.843979
2534.144789,1000,2403.706582
2521.587377,1000,2425.52581
2513.940111,1000,2447.388132
2547.734494,1000,2469.3557
2538.672906,1000,2491.283474
2542.282806,1000,2513.179475
2536.192638,1000,2535.135759
2560.300985,1000,2556.98344
2538.030237,1000,2578.875282
2533.853952,1000,2600.790746
2569.667746,1000,2622.667557
2536.374507,1000,2644.454184
2553.906515,1000,2666.272077
2527.058409,1000,2688.172225
