#{"t_start": 1619393481.243416, "env_id": "HopperBulletEnv-v0"}
r,l,t
24.387038,12,0.258578
25.202756,26,0.477364
24.311049,9,0.577373
20.359217,8,0.648342
33.055195,19,0.811864
27.799557,11,0.901122
25.499412,10,0.983445
24.771425,13,1.088548
25.505263,12,1.190603
22.995179,9,1.265248
27.553684,13,1.371014
21.461768,7,1.427473
20.635799,9,1.499618
34.10203,18,1.645691
29.511785,14,1.761929
27.359278,11,1.859903
23.657782,8,1.925249
18.61707,15,2.045305
27.701899,13,2.151793
30.81111,14,2.264694
26.01856,11,2.35491
33.244995,20,2.517036
28.187447,13,2.621734
31.315543,18,2.77086
19.282267,8,2.836239
31.877516,17,2.974846
24.087233,9,3.048148
29.762588,17,3.184077
29.334576,17,3.323569
18.75332,12,3.420014
21.791138,11,3.508052
38.628009,23,3.695384
23.619911,8,3.760636
33.033041,20,3.921971
19.788779,8,3.987356
18.882761,6,4.037092
56.895302,50,11.499275
36.672045,20,11.663614
20.232137,7,11.721337
41.624332,23,11.91084
21.743947,7,11.966063
21.06864,7,12.023685
28.971043,12,12.120241
21.209026,7,12.178018
33.49998,21,12.345841
35.469521,23,12.535393
22.794127,8,12.600148
25.718866,14,12.714077
26.676408,11,12.811091
18.401854,6,12.861949
20.693775,8,12.926725
20.962376,8,12.993095
30.704712,20,13.156978
21.824732,7,13.211499
24.537001,10,13.293005
19.150888,6,13.34198
30.278842,15,13.465151
25.40247,10,13.546886
28.344473,16,13.676851
27.021828,13,13.782813
26.534967,16,13.912564
25.522541,11,14.003099
33.705826,23,14.189252
35.739691,19,14.343866
29.599359,16,14.476308
23.012986,9,14.550316
17.621792,8,14.616919
25.425027,12,14.714431
22.227382,11,14.804797
21.112585,11,14.895658
19.604341,6,14.948491
35.006599,20,15.117076
24.125365,8,15.181937
58.206281,42,15.521565
20.087029,7,15.578313
24.256287,15,22.775518
19.033324,7,22.832322
24.788801,11,22.920359
19.941093,7,22.977852
27.847772,16,23.106966
31.123911,18,23.253707
21.058474,8,23.317537
20.955549,10,23.39888
32.08562,22,23.578537
32.079847,16,23.707083
26.383361,11,23.794699
30.912264,16,23.922524
25.4693,10,24.002517
25.231895,12,24.098661
27.230214,13,24.204594
22.300989,10,24.285182
23.11773,12,24.382969
31.728383,18,24.527614
24.555841,12,24.624177
25.413777,10,24.705641
27.671105,16,24.835296
33.888876,20,24.996516
37.015411,23,25.181406
20.785317,8,25.245526
23.344194,12,25.342505
23.157713,12,25.437577
