#{"t_start": 1619393481.223327, "env_id": "HopperBulletEnv-v0"}
r,l,t
28.035312,14,0.290284
26.604277,15,0.415041
30.012989,19,0.600549
22.724549,9,0.680998
21.17933,10,0.769026
35.937687,25,0.972622
24.91808,12,1.07071
23.865573,12,1.166662
24.039499,10,1.255546
34.29136,20,1.418041
23.13864,9,1.490668
27.495171,13,1.594911
16.767821,8,1.660012
21.308874,9,1.733205
28.370346,12,1.840378
27.398139,12,1.939874
26.892594,10,2.020753
25.076155,12,2.117723
27.780445,12,2.21453
29.750303,14,2.328607
23.840612,11,2.418132
26.012308,16,2.548586
31.483509,15,2.669702
30.478878,14,2.785029
25.316143,11,2.87527
31.496612,22,3.05376
20.314255,6,3.102178
35.163729,19,3.255547
31.563967,16,3.386864
28.006079,15,3.506431
27.300547,23,3.69425
36.796366,24,3.888656
25.245906,17,4.027187
29.84838,15,4.148704
30.839763,18,4.29271
20.235876,8,4.357412
23.09616,11,11.504893
20.809486,7,11.564413
30.296632,16,11.695135
26.837607,12,11.793553
21.538472,7,11.851429
17.733581,11,11.942043
24.652831,11,12.029687
19.403779,6,12.078903
24.561559,12,12.176246
27.279835,15,12.295713
24.405158,9,12.369257
23.187449,10,12.451195
23.639674,9,12.524776
24.577679,13,12.631501
27.004363,12,12.728061
31.404244,15,12.859806
27.615849,13,12.966286
35.741858,19,13.121696
25.033458,10,13.20326
30.464246,13,13.307218
21.384916,7,13.365116
23.189061,9,13.439828
23.412157,10,13.521643
22.03981,8,13.586906
25.30996,15,13.708162
23.306712,9,13.780358
28.16047,11,13.87031
22.202789,9,13.943204
20.88685,15,14.066187
29.135398,12,14.163933
60.779464,55,14.615286
23.93241,9,14.689078
22.636104,11,14.779661
13.670754,11,14.868527
25.10679,9,14.947019
21.028961,8,15.017612
20.736396,15,15.14021
24.662265,13,15.244916
22.036126,8,15.308815
21.09087,8,15.375094
25.538091,9,15.447891
31.626509,17,15.584998
21.660636,9,22.7316
20.310735,11,22.8223
22.14468,8,22.886949
31.408077,20,23.048654
32.708724,21,23.218197
26.623122,12,23.31552
23.76051,14,23.429891
25.066561,11,23.519022
26.596709,13,23.626549
55.446691,49,24.017143
17.806835,6,24.065488
21.725373,9,24.13722
23.369215,9,24.211468
30.132648,24,24.405957
23.070907,8,24.468897
20.921844,9,24.542147
26.948953,11,24.630234
22.761117,8,24.696577
35.161129,23,24.882601
24.254799,14,24.995391
30.312969,17,25.132128
34.08443,21,25.300816
35.582986,25,25.500127
16.811281,12,25.596892
28.304822,11,25.684576
19.510836,27,25.901499
33.096028,19,26.053375
19.70465,10,26.132588
20.656931,9,26.209069
28.024277,14,26.322537
29.342921,14,26.434514
29.806008,59,33.968946
70.559156,49,34.35997
42.754927,25,34.572113
22.939729,10,34.655188
30.602329,16,34.784849
28.63807,24,34.976432
38.46059,24,35.168868
48.351815,104,35.994062
28.16506,17,36.128727
49.463271,31,36.374232
30.900057,20,36.533513
30.02082,17,36.666979
62.258312,54,37.093726
37.482428,24,37.285217
34.124826,30,37.538256
31.100032,18,37.680626
22.921296,11,37.768309
34.636768,47,45.218817
34.99305,19,45.369123
29.724051,14,45.479718
35.751224,24,45.66877
56.42266,52,46.077681
50.990016,34,46.345581
52.442129,43,46.683676
39.109316,27,46.896743
33.154592,18,47.037771
32.456051,26,47.24309
47.782936,34,47.511066
36.942369,34,47.782626
24.835055,12,47.883945
34.482034,26,48.104924
43.351435,42,48.435883
53.495461,37,48.729272
39.302026,31,48.970756
32.799287,26,56.224625
77.160058,43,56.559077
58.913826,64,57.056524
25.994509,13,57.158816
29.443153,39,57.464744
63.366552,63,57.959008
33.420668,23,58.137998
37.324171,49,58.519519
79.282671,69,59.056939
51.18478,44,59.401139
36.683024,33,59.657452
94.59518,78,67.373293
79.541757,64,67.871331
77.335785,55,68.298173
86.31438,79,68.909847
59.069335,50,69.298549
84.844138,66,69.818819
81.573766,70,70.360538
75.90366,65,70.869342
36.154829,50,71.258271
106.961322,77,78.976406
54.934854,67,79.49929
117.090536,77,80.105612
34.479746,46,80.461516
106.808607,83,81.104455
92.746818,78,81.709262
67.601209,71,82.272472
79.409992,64,89.847852
99.258139,61,90.317005
69.657539,58,90.766014
99.159859,75,91.346731
98.699994,64,91.841121
88.88969,64,92.337711
107.219562,91,93.052287
110.462899,85,100.802731
128.450223,109,101.645857
76.437523,50,102.03609
105.464655,71,102.584715
74.584255,51,102.977392
82.930688,61,103.449199
106.133047,67,103.968143
118.194657,83,111.680989
85.077695,50,112.068271
109.007039,85,112.727924
100.094783,89,113.414369
93.117003,75,113.9942
98.838667,66,114.504856
84.496432,57,114.947358
98.700797,66,115.478098
101.835491,62,123.047915
100.009581,65,123.551292
36.006196,29,123.774518
119.911708,78,124.375927
108.986948,82,125.038168
127.02309,88,125.760827
120.964007,77,126.386849
110.042469,64,133.896938
69.338627,50,134.283382
174.594607,131,135.298725
113.446738,81,135.922112
87.342337,62,136.398765
26.353497,13,136.498957
121.715761,78,137.101541
75.989993,68,137.644196
128.385051,86,145.430563
139.376069,115,146.329154
135.043421,90,147.030751
110.938531,78,147.645856
53.130821,54,148.061679
124.206967,75,148.653109
39.156225,30,156.044206
137.13465,83,156.690889
133.868531,95,157.427939
154.972332,105,158.251084
131.250517,86,158.925269
135.075954,81,159.552041
97.099518,76,167.361876
133.672131,89,168.052082
114.525334,72,168.607035
144.750478,82,169.249597
130.475349,85,169.915337
124.952674,84,170.571115
143.905202,88,178.319015
121.770292,87,178.986865
183.899369,130,179.991736
132.428093,103,180.78311
206.234298,175,182.141284
190.091546,135,190.27416
128.94908,87,190.949083
167.149404,112,191.81542
208.878896,143,192.932237
153.761226,110,200.8598
182.820224,242,202.720716
233.492276,167,204.022767
225.027852,149,212.247704
324.456734,203,213.800906
251.151062,227,222.620129
106.399281,73,223.178795
206.666535,127,224.151867
166.116484,106,224.96634
260.847943,155,226.159046
289.003293,157,234.432778
242.806726,132,235.435776
345.838389,209,237.02726
276.086177,145,245.234796
148.311303,93,245.945442
201.444169,131,246.940403
201.244086,112,247.793434
142.673654,95,255.633875
138.20137,84,256.268635
601.773838,440,266.711112
229.964511,117,267.602593
266.840069,155,268.783281
264.657781,159,270.00683
357.703929,219,278.778324
241.970854,130,279.77607
288.390714,172,281.084538
952.193349,562,299.5673
588.574853,337,302.153961
373.548641,186,310.642463
285.812848,167,311.923338
415.084413,242,313.765535
679.618056,385,323.785858
165.560123,92,324.481692
1214.704118,732,344.170518
1595.849545,1000,365.977426
455.858981,234,367.756184
1215.773828,626,379.626468
1478.972418,771,399.651534
1984.724777,1000,421.443248
1758.887643,897,442.460289
386.735426,194,443.922796
2044.864753,1000,465.655854
1606.65518,764,478.528974
2157.299567,1000,500.350925
1482.112229,712,519.998778
347.667088,178,521.343641
2093.450086,1000,543.329538
2124.178734,1000,565.020742
100.662916,61,565.485484
2189.873548,1000,587.32207
873.743092,420,597.609998
2125.691805,961,619.144992
253.369034,127,620.121485
450.398651,211,621.717508
2227.544812,1000,643.528651
1557.142388,698,663.032322
245.915411,127,663.988783
1850.335622,819,684.380814
847.232348,375,687.205337
2248.773724,1000,708.940643
