#{"t_start": 1619393481.23453, "env_id": "HopperBulletEnv-v0"}
r,l,t
38.564822,27,0.390386
29.700671,14,0.515648
27.416171,15,0.664076
29.827963,14,0.786596
22.948171,13,0.890082
24.677644,10,0.973064
22.759451,9,1.046652
30.898388,14,1.158789
19.783458,6,1.214652
29.381156,14,1.32774
35.017614,37,1.628025
21.72906,9,1.700951
21.66759,8,1.767165
22.108518,7,1.833257
27.604213,11,1.923485
20.722428,9,1.996303
25.042607,10,2.076547
27.529114,10,2.157766
24.730622,11,2.245807
22.407368,9,2.321123
26.157309,11,2.410665
25.15413,10,2.491604
34.24116,20,2.653559
23.006345,8,2.719145
47.69244,25,2.924416
27.171366,13,3.029247
19.12306,6,3.078408
27.847829,13,3.182812
26.176323,10,3.263968
21.691182,7,3.32181
21.411239,12,3.417913
25.361786,10,3.498882
25.250744,10,3.579612
32.742614,22,3.759052
25.740236,11,3.848169
30.70854,18,3.993738
27.764522,30,4.236539
30.146776,14,4.349635
29.941393,16,11.539327
31.819735,17,11.678761
30.989846,16,11.809753
30.630612,14,11.925608
23.582098,9,11.997927
25.747451,13,12.102543
21.400729,7,12.160087
29.147133,16,12.287809
23.373841,11,12.378701
20.766224,7,12.434942
21.386399,7,12.492354
28.687041,18,12.639826
24.639662,10,12.72049
18.840849,7,12.780053
31.280282,17,12.92495
27.954281,17,13.064703
35.337185,24,13.259064
26.420051,13,13.365683
23.066116,9,13.440116
22.782032,8,13.504657
20.788808,8,13.570389
32.21424,15,13.691986
22.653953,10,13.772549
21.84414,8,13.837653
22.673491,8,13.902688
24.202665,8,13.968389
23.366393,10,14.050013
20.897678,7,14.107881
32.455478,18,14.252828
26.405971,13,14.359441
28.194197,15,14.482604
21.695229,6,14.531932
20.325424,6,14.582944
30.111459,14,14.697455
21.602496,8,14.763337
24.468672,10,14.844048
21.55301,8,14.913655
34.62902,24,15.115197
31.294497,16,15.244873
21.925902,8,15.308714
20.688129,6,15.358347
33.398337,17,15.495149
36.612958,20,22.732344
27.644805,11,22.822124
35.839388,22,23.000198
24.091896,10,23.080043
25.200857,12,23.177522
40.396715,26,23.388941
24.267321,13,23.494536
21.17343,7,23.552581
19.112114,6,23.601965
67.307575,47,23.976746
21.569313,9,24.048957
26.851706,11,24.137504
32.854127,18,24.283857
25.20951,11,24.373376
30.100219,16,24.500992
44.947569,29,24.736482
31.414612,19,24.890425
44.067616,30,25.132613
17.903158,6,25.180068
25.669293,11,25.268494
24.758604,13,25.372868
22.901479,8,25.436157
24.040495,9,25.508222
29.542576,14,25.620369
26.724924,13,25.725457
25.970464,13,25.828762
33.351266,16,25.957247
23.675227,14,26.068234
21.584051,9,26.141269
29.908279,14,26.257627
27.376469,13,26.36265
62.341894,71,33.992888
26.673521,16,34.121696
51.553867,38,34.427612
36.703959,20,34.59846
24.465396,10,34.679612
48.03104,42,35.017114
26.747937,12,35.112016
36.390996,23,35.296279
27.107774,15,35.418281
37.396026,24,35.607794
43.343494,29,35.836902
26.714363,14,35.946059
27.489122,19,36.096685
22.12351,10,36.175512
25.062806,14,36.286131
30.251468,18,36.429413
24.926288,18,36.572482
26.314198,11,36.659088
37.753814,22,36.831969
22.319084,14,36.942858
19.104204,7,36.997944
40.787387,25,37.196044
52.545282,63,37.713089
33.708104,23,37.894962
31.052982,18,45.115414
55.372715,41,45.440261
41.581891,31,45.684029
39.321607,34,45.950458
48.460718,37,46.242945
29.557622,15,46.361299
59.020306,47,46.730508
49.111104,37,47.021397
45.806145,28,47.242769
49.410875,40,47.558841
61.369632,45,47.925966
39.185294,26,48.145615
27.326086,26,48.348983
56.170663,48,48.729333
51.895407,35,49.00245
54.692451,48,56.425983
76.519593,52,56.831549
57.630654,61,57.306626
57.584782,54,57.731686
59.348963,61,58.208316
48.418941,38,58.503198
82.39584,72,59.064334
66.067314,59,59.525105
58.901406,47,59.912518
116.777109,87,67.676921
74.299027,64,68.173084
83.547587,105,68.987234
94.580163,69,69.522655
117.513312,90,70.227903
91.35435,72,70.792076
76.282671,59,71.250476
99.421363,75,78.952293
92.17052,94,79.685395
46.784476,32,79.943676
52.386787,40,80.253124
70.487052,63,80.737949
48.285498,56,81.175317
46.719772,36,81.452579
98.307744,69,82.000804
65.47508,54,89.491152
127.737238,94,90.224267
84.584435,66,90.733653
41.308073,29,90.959249
54.172755,53,91.370115
55.894705,62,91.848653
114.592798,98,92.614433
130.861967,124,100.670861
96.919057,71,101.220631
79.746226,66,101.73095
28.285927,14,101.841126
162.413321,117,102.745505
74.766673,61,103.217198
102.718754,78,103.820367
