#{"t_start": 1619393481.2405472, "env_id": "HopperBulletEnv-v0"}
r,l,t
31.677095,16,0.29456
26.086931,12,0.394349
22.87522,8,0.458557
22.683472,11,0.579322
33.189887,24,0.790778
26.87568,13,0.895343
29.668914,15,1.017824
31.731581,17,1.155122
29.613381,20,1.323754
22.837134,15,1.446927
30.352578,19,1.598502
21.924457,8,1.663647
26.352019,13,1.774733
20.260779,10,1.861992
26.125294,16,1.992355
20.485152,12,2.088836
26.745113,12,2.185579
22.66413,8,2.249925
18.412494,13,2.356968
29.729325,13,2.462629
24.343105,9,2.53694
18.847626,7,2.592157
22.744343,8,2.657755
19.998332,7,2.715165
33.950221,18,2.863081
24.793568,11,2.953318
55.62904,36,3.243765
23.22409,8,3.309161
21.628208,10,3.390933
24.140867,9,3.461554
31.048665,16,3.590992
25.258353,10,3.672968
26.685032,12,3.771042
28.821808,23,3.957592
29.437974,14,4.07097
24.086759,9,4.144082
26.105022,13,4.247639
38.081303,20,11.468783
21.315308,7,11.526905
54.184009,33,11.797082
23.928582,8,11.864679
20.194592,6,11.912934
28.692591,14,12.025772
25.481868,9,12.098583
21.815148,10,12.180113
26.205762,11,12.267733
20.760839,8,12.331677
22.994641,8,12.398324
32.966087,18,12.546413
23.524259,8,12.610926
22.468771,8,12.675475
34.507182,22,12.864031
22.00602,7,12.921004
23.115413,11,13.011519
28.102334,12,13.109961
20.443744,6,13.159066
22.389847,8,13.222728
24.971141,11,13.312643
17.623448,7,13.37126
28.615978,15,13.491594
16.046756,5,13.533272
34.094831,16,13.662842
30.54762,13,13.768583
22.320758,10,13.849701
38.561491,22,14.029674
29.628586,14,14.143333
20.10309,7,14.20095
27.982002,12,14.297455
19.275109,6,14.345945
23.798295,8,14.412764
25.689055,10,14.495121
23.748699,9,14.570271
20.764533,7,14.628255
28.689732,17,14.767858
29.329385,14,14.880615
22.135404,7,14.942964
21.569147,8,15.013768
25.664387,13,15.119172
17.902784,6,15.168702
17.162493,5,15.208017
31.84827,16,15.337385
22.202094,8,15.40335
26.944803,15,15.523635
23.242144,9,15.597721
20.933131,8,22.736789
23.722496,11,22.826516
33.50452,17,22.964498
20.361388,15,23.084835
28.102983,13,23.189899
40.792426,24,23.385013
23.349821,10,23.466128
18.292743,8,23.531443
27.307801,12,23.629934
28.117615,16,23.758382
31.674624,17,23.89279
23.146247,9,23.964536
26.551957,12,24.061455
25.036671,10,24.142198
34.711681,20,24.304507
18.598227,7,24.360903
26.925814,17,24.497425
20.259871,8,24.563073
21.965764,12,24.660238
27.557319,13,24.76423
23.763949,9,24.837358
23.828633,10,24.918995
27.145537,13,25.02311
24.675353,10,25.102593
27.45779,16,25.231846
32.0952,18,25.376544
27.398614,11,25.463799
21.350353,7,25.520485
18.027106,8,25.584674
27.537332,15,25.704106
24.41794,10,25.78472
27.980331,15,25.904956
28.937864,14,26.01716
28.071608,15,26.137321
21.564609,10,26.221955
29.29126,15,26.342704
34.871354,17,26.479271
20.582771,11,26.567403
22.292166,8,26.632635
25.658924,11,26.719336
31.22237,19,33.932323
35.805215,25,34.133124
32.800969,20,34.291637
36.023183,29,34.533955
41.23318,28,34.764266
24.813093,14,34.875202
27.326742,13,34.980318
47.022189,38,35.283952
43.612776,49,35.674907
35.002072,22,35.848849
28.623332,21,36.013425
62.461295,42,36.346121
43.354214,36,36.630978
