#{"t_start": 1619393481.2330828, "env_id": "HopperBulletEnv-v0"}
r,l,t
23.545641,13,0.275031
25.909966,12,0.374768
25.918627,14,0.494538
48.465693,36,0.827692
42.762923,30,1.072113
22.347577,8,1.135238
23.103683,11,1.231641
29.050414,18,1.378444
24.145247,9,1.451973
34.354285,20,1.612215
33.411338,25,1.824508
19.719292,6,1.876143
24.775268,9,1.949109
23.896896,14,2.061292
29.109091,14,2.1755
18.989976,7,2.230704
20.055382,11,2.321758
21.366994,14,2.435424
40.368731,26,2.646687
28.777916,16,2.778221
46.731011,35,3.063857
27.892892,11,3.151109
30.298197,17,3.289382
22.112871,10,3.371679
25.291242,11,3.459068
19.780575,7,3.51551
29.091087,15,3.636874
22.95737,9,3.711256
28.6769,15,3.832347
25.538367,13,3.938193
23.515311,11,4.028302
20.690547,8,4.092962
25.219402,12,4.188814
26.395273,10,4.269878
17.913729,7,4.326116
21.98545,14,11.498702
23.131672,8,11.565366
22.180742,9,11.638487
26.351979,11,11.728767
24.547904,10,11.810409
28.118763,13,11.917936
23.387184,12,12.014519
33.569645,17,12.152803
25.833225,12,12.248415
29.848436,14,12.362765
28.138382,12,12.460123
21.371083,8,12.526512
33.54144,22,12.704869
28.185551,14,12.827637
32.984551,17,12.968002
27.097764,13,13.074601
28.737844,12,13.173158
25.246501,12,13.26839
28.153539,12,13.366341
25.004537,10,13.449145
20.379198,8,13.514806
27.196168,18,13.659724
19.175485,6,13.708867
18.25561,6,13.757591
22.308072,15,13.879411
22.022154,7,13.936695
20.055646,6,13.986124
25.120717,10,14.06729
32.553143,15,14.188721
25.916529,12,14.286425
24.941306,9,14.360131
21.8194,7,14.417123
19.903085,6,14.468009
19.89862,6,14.516184
18.809982,7,14.575175
21.485805,7,14.633229
31.616347,15,14.754715
24.511854,11,14.844711
37.49519,23,15.043171
27.448955,14,15.156419
21.658921,10,15.238031
16.955085,13,15.342383
20.270024,10,15.424786
25.239153,10,15.504573
33.121998,16,15.635822
37.539492,21,22.880174
37.727268,30,23.122768
29.181545,15,23.244171
31.279642,17,23.381827
23.250958,9,23.45489
25.400705,18,23.602612
21.806013,11,23.69078
28.052261,16,23.818323
26.814041,16,23.946024
22.953645,9,24.018547
27.324504,13,24.122103
23.198244,9,24.196295
24.351849,13,24.300938
29.991349,23,24.485922
28.03829,14,24.599116
35.147578,29,24.834034
27.271275,13,24.939869
60.360631,47,25.317717
27.956486,17,25.453239
27.664654,14,25.56642
41.11545,30,25.805929
18.720568,10,25.886336
26.791537,12,25.982113
20.131313,39,26.299507
33.199456,19,26.452009
18.240736,8,26.51669
21.615587,10,26.597121
46.614558,47,34.033679
29.67533,17,34.170134
36.072665,26,34.379054
28.050134,21,34.556591
45.341584,34,34.83228
27.909605,15,34.952818
41.997326,28,35.179421
47.254854,32,35.436222
36.547829,25,35.63284
33.197624,19,35.783179
31.694124,16,35.908372
32.433592,18,36.050662
51.633232,36,36.334273
23.982964,13,36.439156
51.940407,42,36.770087
33.105274,17,36.904165
29.01415,17,37.038458
25.15799,11,37.125599
26.940248,14,37.238244
28.414973,13,37.340263
50.236169,38,37.657175
57.82111,55,45.1727
43.89962,28,45.39454
58.28398,39,45.701946
35.418134,20,45.858104
30.005345,20,46.013821
36.592103,23,46.197332
38.458536,26,46.401334
54.431814,44,46.748247
32.682299,20,46.905381
49.770449,32,47.157078
20.358578,8,47.219424
38.295362,39,47.527904
49.630448,30,47.764524
48.272196,32,48.041377
27.135559,17,48.178096
26.935945,17,48.311329
28.357826,16,48.436546
43.082164,27,48.652942
51.321591,42,48.979658
53.197397,40,56.341642
83.067497,61,56.816498
53.650302,46,57.175397
38.877169,40,57.49001
62.175285,47,57.856698
85.095762,62,58.341001
67.811749,50,58.729746
25.243114,14,58.840204
78.716882,64,59.33844
75.864849,64,59.858812
73.450871,53,67.357749
73.901736,53,67.772211
73.530517,73,68.337791
93.718868,76,68.926481
56.245584,41,69.243382
98.153903,96,69.999746
29.85582,48,70.368971
68.052083,79,70.986927
73.499837,75,78.694235
81.4261,68,79.215434
3.92252,92,79.944254
97.074118,86,80.608563
100.058976,79,81.223069
28.542391,24,81.407623
73.423812,56,81.846897
30.360113,22,82.024746
82.560676,61,89.570347
95.034905,57,90.016635
80.156614,80,90.633999
88.935326,63,91.121892
49.981232,52,91.524814
78.382129,68,92.052241
89.457458,78,92.66197
101.801827,70,93.206186
85.021449,71,100.8501
61.430638,51,101.244969
162.168773,130,102.253312
91.630459,82,102.885683
118.746789,76,103.473174
111.892847,76,104.064512
74.561552,49,104.442076
100.652429,71,112.061484
98.593898,69,112.597141
146.680892,104,113.399061
116.829041,89,114.087293
82.76244,64,114.584973
59.825381,59,115.044293
97.642046,70,122.694243
170.669904,137,123.751296
103.888422,65,124.251533
129.299918,85,124.93447
142.226382,90,125.673405
129.983114,139,133.796734
101.789538,81,134.423208
131.410332,85,135.081804
128.770814,102,135.86832
118.135781,83,136.507374
119.979787,80,137.125446
113.907981,76,144.844874
121.925547,76,145.439239
147.41161,99,146.211125
141.610986,79,146.828523
132.455594,84,147.48669
123.909949,75,148.070175
141.379807,99,156.004507
129.492411,88,156.692189
98.889196,75,157.274049
128.114853,82,157.919639
129.309855,88,158.599779
108.290934,72,159.162248
132.178278,83,159.816201
