#{"t_start": 1619393481.226708, "env_id": "HopperBulletEnv-v0"}
r,l,t
31.937779,19,0.328826
31.080984,21,0.510076
19.539618,8,0.598425
29.947351,14,0.721694
21.794388,7,0.783918
37.46752,24,0.978334
37.688539,24,1.173506
27.210318,16,1.309424
31.922865,18,1.456296
24.282782,15,1.576267
27.068396,15,1.698285
28.169399,17,1.847284
23.753444,9,1.921252
35.550555,21,2.090131
20.22118,8,2.155373
36.523979,18,2.301499
28.163666,14,2.415992
24.306035,10,2.49687
25.395095,13,2.601729
17.960697,11,2.692536
22.600079,13,2.7995
26.432697,10,2.881617
25.499452,10,2.962996
22.763917,9,3.034171
24.550528,12,3.131817
25.03338,10,3.212753
25.94263,13,3.31882
24.239884,10,3.400286
27.542917,12,3.495269
23.43264,10,3.57609
27.051,10,3.658176
44.442151,27,3.877623
21.213701,7,3.934032
29.821602,15,4.057624
27.786228,13,4.162093
27.6441,13,4.265651
34.036672,19,11.478395
24.089592,9,11.553289
24.557087,11,11.642783
22.74429,11,11.733089
28.279002,14,11.849364
18.441047,6,11.898125
25.608775,12,11.994958
23.800076,9,12.068049
23.031712,10,12.14954
24.143126,8,12.213606
34.327373,17,12.349743
22.972174,8,12.416435
24.740451,9,12.489334
21.789165,8,12.555837
22.201704,7,12.612221
22.170855,8,12.6767
25.009691,9,12.751215
19.28064,7,12.813652
24.698459,10,12.898318
27.595447,13,13.00479
24.1006,9,13.078893
37.879969,19,13.232075
37.313114,22,13.412669
26.175725,12,13.509984
22.056284,8,13.575354
29.722564,15,13.697323
24.320703,11,13.786823
27.321722,15,13.90809
24.616823,10,13.990417
37.493517,22,14.169629
17.526728,6,14.219033
20.703052,10,14.299116
27.407253,13,14.405111
30.649783,15,14.529002
26.778783,11,14.621095
30.830236,17,14.75896
65.52166,44,15.128829
34.111001,18,15.274294
28.006691,17,15.412326
41.306787,28,15.640036
29.308318,16,22.844466
21.881388,11,22.932389
24.80681,10,23.014231
24.452341,11,23.102923
28.198489,15,23.223617
42.301563,32,23.484216
23.557358,8,23.549637
26.034837,23,23.735321
25.227964,12,23.831066
38.006694,28,24.054307
31.207798,18,24.200613
34.530975,23,24.387018
35.499519,20,24.548428
24.812421,12,24.645038
30.65996,17,24.782338
32.189253,21,24.952643
30.337654,16,25.08042
28.734275,15,25.202258
31.724086,19,25.35424
25.132729,12,25.449767
23.760629,12,25.54645
26.981863,14,25.657795
24.268314,9,25.730815
29.448155,16,25.858431
32.439604,20,26.01827
28.442852,15,26.138341
38.115737,24,26.336275
28.248153,13,26.441013
25.205219,10,26.520965
24.663977,11,26.609749
22.061533,8,26.674618
22.402933,9,26.745536
31.248485,22,33.982601
29.394519,15,34.103178
25.734743,13,34.206946
40.246118,27,34.425155
28.725158,16,34.560867
25.67743,13,34.668845
35.086096,23,34.853012
36.558697,20,35.014236
39.50971,42,35.350493
38.14403,21,35.519355
31.965891,43,35.858597
30.961752,19,36.007654
37.408515,23,36.189214
37.446494,26,36.395482
28.584989,13,36.499755
39.114922,25,36.696398
32.931111,17,36.82959
42.001658,28,37.05138
25.852733,13,37.154349
32.69429,27,37.369876
66.432382,41,37.71004
37.169482,23,37.892294
22.658244,15,38.011167
31.703704,20,45.247917
85.330258,58,45.706267
36.036619,20,45.862372
33.328145,17,45.995064
26.263172,12,46.091676
75.219804,53,46.508859
51.500959,44,46.854862
22.862316,12,46.949513
39.951626,27,47.161343
25.929923,23,47.341888
30.133714,20,47.500508
60.728839,43,47.849087
46.76062,30,48.103138
43.918164,33,48.362864
55.88906,40,48.680634
36.279486,24,48.866199
74.225638,77,56.517093
59.877394,40,56.829291
25.705446,14,56.937825
96.033647,67,57.462722
66.23559,48,57.838031
36.014763,23,58.0179
58.839098,50,58.408172
54.1179,50,58.797622
57.18,50,59.187898
71.013327,62,59.673243
49.771681,42,60.018975
63.405471,45,67.458984
58.530979,53,67.869182
115.596703,95,68.604605
74.661712,52,69.008542
135.001414,123,69.972925
81.963033,65,70.474927
97.74977,81,71.10878
93.036746,70,78.774973
84.099107,76,79.357864
83.585504,58,79.824255
109.92713,81,80.450989
118.308038,84,81.102354
94.761866,72,81.660104
80.338125,53,82.084041
116.273268,96,89.906217
86.195044,69,90.437594
108.983435,73,91.003301
94.748914,97,91.752767
71.153469,51,92.150426
138.600506,104,92.965959
26.840905,15,93.080424
89.581974,91,100.878374
99.937624,77,101.473524
118.339937,87,102.14955
115.479693,80,102.767178
90.610597,63,103.253837
101.770773,86,103.918578
126.846692,94,111.717654
123.816135,83,112.361658
117.824131,70,112.90289
91.780757,82,113.536506
60.176812,40,113.844324
114.897595,91,114.54966
115.006476,79,115.175501
117.819379,68,122.799615
75.494567,86,123.463748
120.758205,89,124.149835
90.939802,54,124.572357
107.904441,69,125.13491
138.585628,97,125.927472
97.524467,74,126.521443
100.064733,62,134.018221
118.726058,80,134.638395
122.684345,87,135.312059
114.310253,83,135.950309
107.248817,84,136.59832
112.148479,78,137.200834
31.33959,16,137.336158
120.245082,77,145.05251
104.236332,97,145.812185
144.338835,101,146.598293
111.348734,73,147.168658
100.479182,66,147.689533
117.696814,92,148.408359
136.992124,99,156.340977
135.552675,97,157.092964
129.928157,89,157.792294
145.61306,104,158.596492
121.616399,82,159.236462
190.156655,177,167.834441
161.587246,98,168.589042
127.648682,90,169.294215
140.931934,101,170.085336
162.633272,99,170.862663
138.71136,95,178.654247
186.2013,116,179.542619
180.76088,135,180.584621
207.274776,134,181.621936
217.328635,125,189.678596
148.987029,91,190.387267
184.029917,149,191.542813
174.875743,131,192.55751
149.906963,98,200.402933
163.452573,136,201.448325
117.296984,74,202.018871
296.903063,204,203.590482
207.982512,130,211.685218
151.427958,105,212.488274
163.95963,110,213.330543
39.405522,24,213.513733
193.703208,135,214.544403
230.651398,136,222.671461
211.929759,107,223.489657
420.275832,324,225.979314
137.925045,77,233.632331
231.53628,122,234.575118
508.718892,480,245.331282
87.59668,74,245.896862
246.273281,132,246.899149
212.408685,124,247.849169
146.717649,87,255.623421
190.86644,121,256.544988
165.26153,91,257.235173
770.048006,601,268.902053
532.897608,317,278.435815
102.390567,67,278.944292
935.755218,616,290.756666
254.869977,132,291.761814
601.75128,347,301.509805
728.270047,400,311.639614
1475.441149,905,332.683343
1203.857389,668,344.814186
202.342322,105,345.610178
1217.299177,674,357.8521
289.9464,158,366.146006
347.096092,176,367.479394
1505.077264,756,387.440148
1902.582025,1000,402.102323
1245.701931,598,420.843223
284.075034,156,422.025274
1982.906074,1000,443.813963
1871.36919,941,465.10325
686.114124,332,467.604753
890.778076,414,477.83265
588.160715,308,487.262451
1103.114787,547,498.519475
2181.084037,1000,520.390161
1919.849525,888,541.522006
455.473347,218,543.176282
2189.638137,1000,564.867316
1818.519538,839,585.490074
81.313867,51,585.875016
2144.628235,971,607.465716
664.196319,309,609.80796
688.030953,338,619.497002
2185.670288,1000,641.288382
87.878804,56,641.711458
2274.24978,1000,663.525879
2242.078969,1000,685.285172
2132.927205,942,706.57777
2227.741709,1000,728.585845
2258.292876,1000,750.455884
1206.030742,543,761.659486
1607.823696,733,774.271066
85.71253,49,774.6382
2270.439979,1000,796.357405
404.238317,206,805.0913
391.504798,192,806.534898
2337.286652,1000,828.364688
2306.279872,1000,850.218485
2416.489293,1000,872.033105
2363.696472,1000,893.779815
2302.778021,977,915.352309
2355.146541,988,937.029313
2308.319449,1000,951.704019
2392.756861,1000,973.450176
829.386142,383,983.44661
2351.870985,1000,1005.250088
2347.292623,1000,1027.079613
1842.402361,772,1047.165688
2357.63189,1000,1068.942806
2313.39956,973,1083.487038
2395.480582,1000,1105.217608
2410.685813,1000,1126.923685
2432.967438,1000,1148.680158
2429.950604,1000,1170.47637
2354.550499,1000,1192.236544
2409.185877,1000,1214.056991
1460.664034,628,1225.88487
888.502506,388,1235.933867
2417.249103,1000,1257.730049
617.227018,266,1266.878149
2439.033787,1000,1288.761756
515.285723,247,1290.636575
2447.031487,1000,1312.473021
1200.730995,510,1323.49555
2445.807756,1000,1345.314791
2460.752043,1000,1367.166223
1486.518206,618,1378.972125
933.500799,416,1389.245655
2071.894964,846,1409.978351
922.15399,398,1412.980446
2475.873512,1000,1434.778306
2444.150628,1000,1456.589156
1228.762078,506,1467.486998
2465.928434,1000,1489.278155
2460.045663,1000,1511.145877
2500.701084,1000,1532.979959
2469.939701,1000,1554.720105
1340.403941,553,1566.008031
2481.122142,1000,1587.805297
696.18355,305,1597.245465
2500.393247,1000,1619.055196
2525.871739,1000,1640.84007
332.160074,166,1642.090506
2479.511548,1000,1663.919718
2472.418289,1000,1685.734953
2480.841121,1000,1707.490291
2491.788457,1000,1729.294852
2504.649372,1000,1751.141056
2439.741106,1000,1772.993093
2449.597022,1000,1794.809709
2490.94773,1000,1816.628024
2484.462896,1000,1838.48667
2495.908341,1000,1853.210761
802.247547,349,1863.013251
2491.776245,1000,1884.961752
2489.552384,1000,1906.870838
1311.100629,545,1918.118031
155.451366,82,1918.754498
199.240287,109,1919.599614
2521.870793,1000,1941.548779
2482.657599,1000,1963.48906
2090.771569,834,1984.058795
2525.733087,1000,2005.881017
2504.918608,1000,2027.702815
2509.93857,1000,2049.524773
2493.557003,1000,2071.366171
2488.374548,1000,2093.198456
2518.229927,1000,2115.081085
2525.11682,1000,2136.905718
2521.435617,1000,2158.846979
2497.850029,1000,2180.739687
2526.087163,1000,2202.563699
2522.177602,1000,2224.429937
756.948185,329,2226.906184
162.228694,90,2227.587141
2523.293582,1000,2249.496887
2533.784459,1000,2271.405941
2534.586351,1000,2293.325248
2509.398947,1000,2315.165073
2521.943588,993,2336.889062
2543.903512,1000,2358.72526
2545.511899,1000,2380.633592
2500.526828,1000,2402.49845
2518.23846,1000,2424.315449
2499.373422,1000,2446.154649
2539.609983,1000,2468.14733
2518.414399,1000,2490.070819
2516.001618,1000,2511.970185
2528.258,1000,2533.923018
2560.373507,1000,2555.771399
2540.066651,1000,2577.668038
2563.343008,1000,2599.566862
2560.452506,1000,2614.312491
2539.047174,992,2636.050609
2531.07327,1000,2657.844779
2544.590529,1000,2679.696398
