#{"t_start": 1619393481.231466, "env_id": "HopperBulletEnv-v0"}
r,l,t
22.766145,12,0.267125
26.125848,10,0.35001
41.095635,33,0.656937
27.806974,12,0.763479
33.824412,17,0.901504
34.660392,21,1.072919
24.95713,10,1.152263
39.334872,21,1.329566
24.82593,9,1.403704
35.346537,19,1.556152
31.071261,17,1.695137
27.664155,14,1.81524
24.582568,10,1.901815
27.008181,11,1.990087
25.011779,11,2.078381
26.167566,11,2.168767
31.726042,17,2.306685
43.228877,38,2.614876
20.166085,6,2.663988
22.728312,8,2.729694
29.136762,14,2.844806
25.044544,11,2.935048
19.264817,12,3.031092
39.680519,24,3.225275
28.185072,12,3.323645
21.380423,9,3.397162
23.31247,11,3.483378
27.233433,12,3.581439
24.666799,11,3.671102
34.526085,18,3.817885
18.952748,6,3.866068
24.868902,11,3.955272
24.083421,8,4.021538
27.418862,11,4.110522
23.404678,10,4.189673
21.368521,9,4.262543
19.919419,6,4.311733
27.970783,18,11.516171
31.576715,19,11.671865
26.901482,12,11.769935
23.486158,9,11.846592
20.546572,7,11.90251
22.297871,8,11.967182
37.575296,20,12.128883
20.300394,7,12.185923
21.996291,8,12.24924
30.324254,15,12.372994
22.528101,8,12.436757
25.428932,10,12.519465
22.522661,10,12.600706
23.181398,10,12.681562
14.458049,5,12.722386
27.676173,12,12.828489
27.761965,15,12.951848
18.702293,9,13.026558
25.081146,10,13.107715
31.169229,24,13.301608
24.377133,9,13.377144
27.603086,18,13.524098
19.70214,8,13.589464
20.34485,8,13.652558
27.620001,12,13.750719
29.542503,15,13.87217
22.488275,8,13.937538
26.206832,11,14.027956
25.345558,11,14.118005
31.258497,21,14.287273
17.886852,9,14.360948
24.095161,9,14.435835
23.27593,8,14.501143
24.937814,10,14.584789
28.526045,16,14.715307
20.046255,7,14.774021
25.061249,10,14.854374
18.632716,6,14.903099
25.361223,11,15.0032
29.305944,13,15.109525
23.381808,14,15.222835
26.764594,14,15.334483
24.289264,9,15.40921
22.704831,8,15.473628
28.671266,15,15.596096
25.25584,9,22.742973
27.768251,13,22.849671
35.642189,21,23.019237
44.275817,29,23.253388
20.993643,9,23.326121
26.443635,14,23.440088
23.659308,9,23.513452
41.93203,27,23.732225
29.629624,15,23.851082
24.629799,14,23.963292
42.265996,27,24.181557
20.361521,8,24.245453
27.512969,12,24.34264
22.404329,8,24.408128
25.044066,13,24.512376
31.094464,19,24.666336
22.918751,8,24.730733
28.892441,15,24.852304
35.055976,20,25.013485
32.788256,15,25.13447
24.946393,12,25.230037
26.275783,15,25.351168
32.803086,20,25.510074
25.852815,11,25.599324
30.292585,15,25.718682
19.085367,9,25.790814
26.880656,14,25.903417
41.208196,26,26.110342
30.333101,18,26.259424
25.919511,14,26.373404
27.462523,13,26.477878
24.993077,9,26.549299
30.763319,23,26.73394
29.20582,14,26.844558
30.481225,20,34.067057
32.691754,21,34.235268
25.49998,11,34.321292
40.025387,27,34.548968
24.399962,43,34.898065
29.929049,15,35.018934
23.918973,10,35.098063
45.173989,28,35.322876
31.549173,19,35.476296
43.54595,29,35.704907
69.250147,53,36.123116
39.366479,23,36.303922
34.364907,19,36.456518
37.642202,24,36.645482
26.395662,14,36.754679
28.403585,13,36.857768
29.445577,20,37.016022
26.956093,12,37.110901
32.138863,16,37.239078
33.120533,22,37.421926
27.582634,17,37.563609
23.624157,17,37.697736
28.636572,14,37.810265
38.708165,29,45.117264
44.4844,27,45.33109
47.193034,31,45.575861
28.473825,18,45.71908
33.554253,31,45.960586
45.939224,30,46.19811
45.246552,30,46.433954
45.132495,40,46.749044
34.89888,25,46.946448
68.52424,51,47.346424
35.949036,22,47.52062
65.021436,39,47.836487
30.14451,25,48.050899
38.259566,45,48.406562
68.152332,56,48.847388
33.402545,24,49.036607
56.348313,43,56.419877
89.133263,80,57.04244
52.381762,35,57.316812
65.050989,53,57.733492
53.709994,52,58.140269
55.416545,56,58.576132
89.201188,71,59.129184
60.529749,44,59.472256
90.81164,69,60.031276
96.475984,76,67.711617
80.090643,53,68.121084
100.716109,84,68.770949
89.556416,83,69.417108
82.135441,62,69.905959
74.970083,57,70.346151
56.129564,40,70.656825
36.091538,46,71.020357
99.492964,85,78.802207
139.551902,96,79.547541
115.449193,87,80.231626
111.971442,78,80.8344
80.340987,58,81.285028
104.123573,95,82.034082
121.671286,108,89.94884
101.177574,70,90.488562
109.664374,79,91.099895
51.875814,56,91.534003
113.277262,85,92.19304
