#{"t_start": 1619393481.235967, "env_id": "HopperBulletEnv-v0"}
r,l,t
26.876698,17,0.306053
22.294074,9,0.381032
23.612824,11,0.471643
22.905878,15,0.627803
30.593184,19,0.793706
29.87098,16,0.923187
28.69873,15,1.046004
27.415336,13,1.149389
24.717082,10,1.237885
26.307267,12,1.33586
27.694136,11,1.424579
23.576077,8,1.489821
31.45863,18,1.635352
32.97894,19,1.795226
23.830616,8,1.864938
24.38343,10,1.947509
21.768553,8,2.011817
20.739178,7,2.067211
22.354614,8,2.132336
30.817338,16,2.261906
24.350387,10,2.344385
28.241364,13,2.449947
31.105811,19,2.603487
36.171257,25,2.808817
21.803929,9,2.8833
23.60479,8,2.948224
26.059242,12,3.045222
21.522263,13,3.149438
23.177807,12,3.246691
24.368539,14,3.36095
21.543654,7,3.417283
42.258752,30,3.659504
26.197996,11,3.749165
33.317073,16,3.879748
32.420273,19,4.034379
27.540331,12,4.130892
20.53943,8,4.195128
29.473508,13,4.300479
28.091497,12,11.454901
22.17768,9,11.529886
18.932894,6,11.580249
21.238512,8,11.644494
24.813052,9,11.717969
21.445215,7,11.776145
23.935575,15,11.899643
27.168008,11,11.988622
30.804839,15,12.11025
24.287296,9,12.18305
22.804285,9,12.254939
35.729216,20,12.417784
24.781832,10,12.499535
30.912076,19,12.65425
24.006857,9,12.72837
20.11971,7,12.788828
19.487638,7,12.851109
23.503934,8,12.915931
24.640988,11,13.006885
24.454527,9,13.080675
22.309069,10,13.161998
18.23208,9,13.23396
22.482089,10,13.315541
18.567955,7,13.374251
26.492286,13,13.478885
24.925861,10,13.560708
28.915643,14,13.674025
24.366943,14,13.788179
15.111136,6,13.837022
29.755516,12,13.935003
23.651724,11,14.025109
22.500054,8,14.090361
23.623941,10,14.170884
33.390096,15,14.292685
24.620276,9,14.367025
24.162097,9,14.440947
34.309085,21,14.614726
22.913751,8,14.68059
28.251646,13,14.787428
30.927959,14,14.900385
38.533713,22,15.089653
16.173853,11,15.179914
26.080936,12,15.275834
21.07112,7,15.331687
24.969734,9,15.406308
43.903314,28,15.634163
33.489967,26,22.917598
27.163456,15,23.039881
14.343514,7,23.096546
25.600405,10,23.176898
24.498716,10,23.259119
21.709053,12,23.355158
29.536426,17,23.493901
27.161802,12,23.592363
31.412691,15,23.712423
27.810202,14,23.824695
25.710141,11,23.912252
23.300824,9,23.984625
21.454149,10,24.064458
24.558096,9,24.136862
32.820198,17,24.274449
24.896346,11,24.363826
31.468568,17,24.500354
21.02377,7,24.557744
24.279856,14,24.671728
29.29737,13,24.776021
26.252847,11,24.865376
34.442138,20,25.026
21.439919,8,25.089919
29.586038,27,25.307381
26.767507,13,25.410977
32.751839,17,25.548802
23.664599,15,25.667442
68.459595,60,26.148799
25.44151,9,26.224558
27.118794,11,26.313641
29.11016,14,26.425735
24.134819,11,26.515028
23.691641,12,26.61214
36.867371,27,26.82587
25.581308,17,34.023575
35.394953,22,34.200661
32.983201,22,34.377577
55.205482,40,34.71066
25.938537,16,34.838296
27.783701,12,34.934221
39.480134,23,35.119561
33.251941,23,35.304054
32.67128,22,35.48183
